resId,url,des,version
fightUpConfig,config/FightupConfig.csv,战斗力提升配置,0.0.1
dragonBallFindSelectMapConfig,config/dragonBallFindSelectMap.csv,龙珠寻宝选择地图配置,0.0.1
dragonBallFindScoreConfig,config/dragonBallFindScoreToItem.csv,龙珠积分兑换配置,0.0.1
equipMakeHelpConfig,config/equipMakeHelp.csv,装备制作指南配置,0.0.1
exchangeEquipMakeScoreConfig,config/exchangeEquipMakeScore.csv,装备制作积分兑换配置,0.0.1
bottomButtonConfig,config/bottomButton.csv,底部按钮配置,0.0.1
campsiteVehiclesRoomConfig,config/CampsiteVehiclesRoom.csv,载具室配置,0.0.1
campsiteVehiclesGoldCoinConfig,config/campsiteVehiclesGoldCoin.csv,载具探险花费配置,0.0.1
campsiteTrainRoomConfig,config/CampsiteTrainRoom.csv,训练室配置,0.0.1
campsiteProductionConfig,config/CampsiteProduction.csv,生成物品配置,0.0.1
campsiteProductionRoomConfig,config/CampsiteProductionRoom.csv,生成室配置,0.0.1
campsiteProductionGoldCoinConfig,config/campsiteProductionGoldCoin.csv,生产室生产金币花费配置,0.0.1
campsiteLevelConfig,config/CampsiteLevel.csv,营地配置,0.0.1
campsiteLabSkillConfig,config/CampsiteLabSkill.csv,实验室技能配置,0.0.1
campsiteControlRoomConfig,config/CampsiteControlRoom.csv,控制室升级配置,0.0.1
campsiteLabConfig,config/CampsiteLab.csv,实验室配置,0.0.1
teamDuplicateConfig,config/teamDuplicate.csv,,
meetingConfig,config/meeting.csv,会谈奖励配置,0.0.1
archaeusSceneConfig,config/archaeusScene.csv,元气获得场景幸运数值配置,0.0.1
archaeusGetConfig,config/archaeusGet.csv,元气获得配置,0.0.1
language,config/language.csv,语言配置,0.0.1
functions,config/functions.csv,功能列表配置,0.0.1
partnerConfig,config/partner.csv,伙伴配置,0.0.1
formationLv,config/formationLv.csv,阵型等级配置,0.0.1
formation,config/formation.csv,阵型配置,0.0.1
props,config/item.csv,道具配置,0.0.1
duplicate,config/duplicate.csv,副本配置,0.0.1
crisis,config/crisis.csv,关卡配置,0.0.1
cityConfig,config/city.csv,城市配置,0.0.1
monster,config/monster.csv,怪物配置,0.0.1
taskConfig,config/task.csv,任务配置,0.0.1
monsterTeam,config/monsterTeam.csv,怪物队伍配置,0.0.1
skillConfig,config/skillConfig.csv,战斗中技能显示配置,0.0.1
equipConfig,config/equip.csv,装备配置,0.0.1
errorConfig,config/error_code.csv,错误提示配置,0.0.1
guildIconConfig,config/guildIcon.csv,帮会徽记配置,0.0.1
guildScienceConfig,config/guildScience.csv,帮会科技配置,0.0.1
guildScienceLevelUpConfig,config/guildScienceLevelUp.csv,公会升级配置,0.0.1
guildDonateConfig,config/guildDonate.csv,帮会捐献配置,0.0.1
