成就Id,成就主类型,大类型选项名称,成就小类型,小类型选项名称,成就名称,成就描述,成就分数,所需进度,获得称号(称号id),是否需要进度条,图标ID
id,rootType,rootName,sonType,sonName,name,msg,achievePoint,maxNum,titleID,ishowP,IconID
1,1,副本,1,通关副本,龙珠之秘,击败序章副本所有部队,5,1,0,0,101
2,1,副本,1,通关副本,得意弟子,击败第1章副本所有部队,10,1,1,0,101
3,1,副本,1,通关副本,极致武道,击败第2章副本所有部队,20,1,0,0,102
4,1,副本,1,通关副本,克星,击败第3章副本所有部队,30,1,2,0,103
5,1,副本,1,通关副本,神龙再会,击败第4章副本所有部队,40,1,0,0,104
6,1,副本,1,通关副本,真正的战斗,击败第5章副本所有部队,50,1,3,0,105
7,1,副本,1,通关副本,制霸天下第一武道会,击败第6章副本所有部队,60,1,0,0,106
8,1,副本,1,通关副本,最高境界,击败第7章副本所有部队,70,1,4,0,107
9,1,副本,1,通关副本,探秘海贼洞,击败30级精英副本所有部队,30,1,0,0,108
10,1,副本,1,通关副本,武道的追求,击败35级精英副本所有部队,40,1,5,0,109
11,1,副本,1,通关副本,我的目标是冠军,击败40级精英副本所有部队,50,1,0,0,110
12,1,副本,1,通关副本,胜利,击败45级精英副本所有部队,60,1,0,0,111
13,1,副本,1,通关副本,绞杀,击败50级精英副本所有部队,70,1,6,0,112
14,1,副本,1,通关副本,天下无贼,击败55级精英副本所有部队,80,1,0,0,113
15,1,副本,1,通关副本,来自阴间的挑战,击败60级精英副本所有部队,90,1,0,0,114
16,1,副本,1,通关副本,最后的武道会,击败65级精英副本所有部队,100,1,0,0,115
17,1,副本,1,通关副本,灭魔,击败70级精英副本所有部队,110,1,7,0,116
18,1,副本,2,副本奖励,第一个愿望,获得序章副本的所有奖励,10,1,0,,201
19,1,副本,2,副本奖励,第二个愿望,获得第1章副本的所有奖励,30,1,0,0,201
20,1,副本,2,副本奖励,龟仙人的礼物,获得第2章副本的所有奖励,40,1,0,0,201
21,1,副本,2,副本奖励,武道会的奖励,获得第3章副本的所有奖励,50,1,0,0,201
22,1,副本,2,副本奖励,战利品,获得第4章副本的所有奖励,60,1,0,0,201
23,1,副本,2,副本奖励,神龙的馈赠,获得第5章副本的所有奖励,70,1,0,0,201
