成就等级,成就积分,成就工资(索尼)
id,achievePoint,money
0,0,5000
1,100,10000
2,200,15000
3,400,20000
4,600,25000
5,800,30000
6,1000,35000
7,1200,40000
8,1400,45000
9,1600,50000
10,1800,55000
11,2000,60000
12,2200,65000
13,2400,70000
14,2600,75000
15,2800,80000
16,3000,85000
17,3200,90000
18,3400,95000
19,3600,100000
20,3800,105000
21,4000,110000
22,4200,115000
23,4400,120000
24,4600,125000
25,4800,130000
26,5000,135000
27,5200,140000
28,5400,145000
29,5600,150000
30,5800,155000
31,6000,160000
32,6200,165000
33,6400,170000
34,6600,175000
35,6800,180000
36,7000,185000
37,7200,190000
38,7400,195000
39,7600,200000
40,7800,205000
41,8000,210000
42,8200,215000
43,8400,220000
44,8600,225000
45,8800,230000
46,9000,235000
47,9200,240000
48,9400,245000
49,9600,250000
50,9800,255000
51,10000,260000
52,10200,265000
53,10400,270000
54,10600,275000
55,10800,280000
56,11000,285000
57,11200,290000
58,11400,295000
59,11600,300000
60,11800,305000
61,12000,310000
62,12200,315000
63,12400,320000
64,12600,325000
65,12800,330000
66,13000,335000
67,13200,340000
68,13400,345000
69,13600,350000
70,13800,355000
71,14000,360000
72,14200,365000
73,14400,370000
74,14600,375000
75,14800,380000
76,15000,385000
