lv,roleLv,money,material,fiveCreateMoney,fiveCreateMaterial,time,influence
1,1,2400,1,970,4,90,50
2,2,2760,1,975,5,180,100
3,3,3120,1,981,6,270,150
4,4,3480,2,987,7,360,200
5,5,3840,3,1005,8,450,250
6,6,4200,4,1011,9,540,300
7,7,4560,6,1015,10,630,350
8,8,4920,8,1021,11,720,400
9,9,5280,10,1027,11,810,450
10,10,5640,13,1107,11,900,500
11,11,6000,16,1113,11,990,550
12,12,6360,19,1117,11,1080,600
13,13,6720,22,1123,11,1170,650
14,14,7080,26,1129,11,1260,700
15,15,7440,30,1149,11,1350,750
16,16,7800,34,1155,11,1440,800
17,17,8160,38,1159,11,1530,850
18,18,8520,43,1165,11,1620,900
19,19,8880,48,1171,11,1710,950
20,20,9240,53,1416,11,1800,1000
21,21,9600,58,1422,11,1890,1050
22,22,9960,64,1428,11,1980,1100
23,23,10320,70,1432,11,2070,1150
24,24,10680,76,1438,11,2160,1200
25,25,11040,83,1459,11,2250,1250
26,26,11400,90,1465,11,2340,1300
27,27,11760,97,1471,11,2430,1350
28,28,12120,104,1477,11,2520,1400
29,29,12480,112,1483,11,2610,1450
30,30,12840,120,1572,11,2700,1500
31,31,13200,128,1578,11,2790,1550
32,32,13560,136,1584,11,2880,1600
33,33,13920,145,1590,11,2970,1650
34,34,14280,154,1596,11,3060,1700
35,35,14640,163,1617,11,3150,1750
36,36,15000,172,1623,11,3240,1800
37,37,15360,182,1629,11,3330,1850
38,38,15720,192,1635,11,3420,1900
39,39,16080,202,1641,11,3510,1950
40,40,16440,213,1911,11,3600,2000
41,41,16800,336,1917,11,3690,2050
42,42,17160,352,1923,11,3780,2100
43,43,17520,369,1930,11,3870,2150
44,44,17880,387,1936,11,3960,2200
45,45,18240,405,1959,11,4050,2250
46,46,18600,423,1965,11,4140,2300
47,47,18960,441,1971,11,4230,2350
48,48,19320,460,1977,11,4320,2400
49,49,19680,480,1984,11,4410,2450
50,50,20040,500,2080,11,4500,2500
51,51,20400,520,2086,11,4590,2550
52,52,20760,540,2094,11,4680,2600
53,53,21120,561,2100,11,4770,2650
54,54,21480,583,2106,11,4860,2700
55,55,21840,605,2130,11,4950,2750
56,56,22200,627,2136,11,5040,2800
57,57,22560,649,2142,11,5130,2850
58,58,22920,672,2149,11,5220,2900
59,59,23280,696,2155,11,5310,2950
60,60,23640,720,2449,11,5400,3000
61,61,24000,744,2457,11,5490,3050
62,62,24360,768,2463,11,5580,3100
63,63,24720,793,2470,11,5670,3150
64,64,25080,819,2478,11,5760,3200
65,65,25440,845,2500,11,5850,3250
66,66,25800,871,2508,11,5940,3300
67,67,26160,897,2515,11,6030,3350
68,68,26520,924,2521,11,6120,3400
69,69,26880,952,2529,11,6210,3450
70,70,27240,980,2634,11,6300,3500
71,71,27600,1008,2640,11,6390,3550
72,72,27960,1036,2647,11,6480,3600
73,73,28320,1065,2655,11,6570,3650
74,74,28680,1095,2662,11,6660,3700
75,75,29040,1125,2686,11,6750,3750
76,76,29400,1155,2692,11,6840,3800
77,77,29760,1185,2700,11,6930,3850
78,78,30120,1216,2707,11,7020,3900
79,79,30480,1248,2715,11,7110,3950
80,80,30840,1280,3033,11,7200,4000
81,81,31200,1312,3040,11,7290,4050
82,82,31560,1344,3048,11,7380,4100
83,83,31920,1377,3055,11,7470,4150
84,84,32280,1411,3063,11,7560,4200
85,85,32640,1445,3088,11,7650,4250
86,86,33000,1479,3096,11,7740,4300
87,87,33360,1513,3103,11,7830,4350
88,88,33720,1548,3111,11,7920,4400
89,89,34080,1584,3118,11,8010,4450
90,90,34440,1620,3231,11,8100,4500
91,91,34800,1656,3238,11,8190,4550
92,92,35160,1692,3246,11,8280,4600
93,93,35520,1729,3253,11,8370,4650
94,94,35880,1767,3261,11,8460,4700
95,95,36240,1805,3286,11,8550,4750
96,96,36600,1843,3294,11,8640,4800
97,97,36960,1881,3301,11,8730,4850
98,98,37320,1920,3309,11,8820,4900
99,99,37680,1960,3316,11,8910,4950
100,100,38040,2000,3661,11,9000,5000
