id,name,icon,pos,lv,costSence,time,addAttri,lvUpCoord
1,生命,,0,0,500,30,15,0
2,生命,,0,1,800,60,30,1
3,生命,,0,2,1100,90,45,2
4,生命,,0,3,1400,120,60,3
5,生命,,0,4,1700,150,75,4
6,生命,,0,5,2000,180,90,5
7,生命,,0,6,2300,210,105,6
8,生命,,0,7,2600,240,120,7
9,生命,,0,8,2900,270,135,8
10,生命,,0,9,3200,300,150,9
11,生命,,0,10,3500,330,165,10
12,生命,,0,11,3800,360,180,11
13,生命,,0,12,4100,390,195,12
14,生命,,0,13,4400,420,210,13
15,生命,,0,14,4700,450,225,14
16,生命,,0,15,5000,480,240,15
17,生命,,0,16,5300,510,255,16
18,生命,,0,17,5600,540,270,17
19,生命,,0,18,5900,570,285,18
20,生命,,0,19,6200,600,300,19
21,生命,,0,20,6500,660,315,20
22,生命,,0,21,6800,720,330,21
23,生命,,0,22,7100,780,345,22
24,生命,,0,23,7400,840,360,23
25,生命,,0,24,7700,900,375,24
26,生命,,0,25,8000,960,390,25
27,生命,,0,26,8300,1020,405,26
28,生命,,0,27,8600,1080,420,27
29,生命,,0,28,8900,1140,435,28
30,生命,,0,29,9200,1200,450,29
31,生命,,0,30,9500,1290,465,30
32,生命,,0,31,9800,1380,480,31
33,生命,,0,32,10100,1470,495,32
34,生命,,0,33,10400,1560,510,33
35,生命,,0,34,10700,1650,525,34
36,生命,,0,35,11000,1740,540,35
37,生命,,0,36,11300,1830,555,36
38,生命,,0,37,11600,1950,570,37
39,生命,,0,38,11900,2070,585,38
40,生命,,0,39,12200,2190,600,39
41,生命,,0,40,12500,2310,615,40
42,生命,,0,41,12800,2430,630,41
43,生命,,0,42,13100,2580,645,42
44,生命,,0,43,13400,2730,660,43
45,生命,,0,44,13700,2880,675,44
46,生命,,0,45,14000,3030,690,45
47,生命,,0,46,14300,3210,705,46
48,生命,,0,47,14600,3390,720,47
49,生命,,0,48,14900,3570,735,48
50,生命,,0,49,15200,3700,750,49
51,生命,,0,50,15500,3700,765,50
52,生命,,0,51,15800,3700,780,51
53,生命,,0,52,16100,3700,795,52
54,生命,,0,53,16400,3700,810,53
55,生命,,0,54,16700,3700,825,54
56,生命,,0,55,17000,3700,840,55
57,生命,,0,56,17300,3700,855,56
58,生命,,0,57,17600,3700,870,57
59,生命,,0,58,17900,3700,885,58
60,生命,,0,59,18200,3700,900,59
61,生命,,0,60,18500,3700,915,60
62,生命,,0,61,18800,3700,930,61
63,生命,,0,62,19100,3700,945,62
64,生命,,0,63,19400,3700,960,63
65,生命,,0,64,19700,3700,975,64
66,生命,,0,65,20000,3700,990,65
67,生命,,0,66,20300,3700,1005,66
68,生命,,0,67,20600,3700,1020,67
69,生命,,0,68,20900,3700,1035,68
70,生命,,0,69,21200,3700,1050,69
71,生命,,0,70,21500,3700,1065,70
72,生命,,0,71,21800,3700,1080,71
73,生命,,0,72,22100,3700,1095,72
74,生命,,0,73,22400,3700,1110,73
75,生命,,0,74,22700,3700,1125,74
76,生命,,0,75,23000,3700,1140,75
77,生命,,0,76,23300,3700,1155,76
78,生命,,0,77,23600,3700,1170,77
79,生命,,0,78,23900,3700,1185,78
80,生命,,0,79,24200,3700,1200,79
81,生命,,0,80,24500,3700,1215,80
82,生命,,0,81,24800,3700,1230,81
83,生命,,0,82,25100,3700,1245,82
84,生命,,0,83,25400,3700,1260,83
85,生命,,0,84,25700,3700,1275,84
86,生命,,0,85,26000,3700,1290,85
87,生命,,0,86,26300,3700,1305,86
88,生命,,0,87,26600,3700,1320,87
89,生命,,0,88,26900,3700,1335,88
90,生命,,0,89,27200,3700,1350,89
91,生命,,0,90,27500,3700,1365,90
92,生命,,0,91,27800,3700,1380,91
93,生命,,0,92,28100,3700,1395,92
94,生命,,0,93,28400,3700,1410,93
95,生命,,0,94,28700,3700,1425,94
96,生命,,0,95,29000,3700,1440,95
97,生命,,0,96,29300,3700,1455,96
98,生命,,0,97,29600,3700,1470,97
99,生命,,0,98,29900,3700,1485,98
100,生命,,0,99,30200,3700,1500,99
101,攻击力,,1,0,500,30,3,0
102,攻击力,,1,1,800,60,6,1
