lv,controlLv,money,material,time,influence
1,1,3600,1,225,50
2,2,4140,2,450,100
3,3,4680,4,675,150
4,4,5220,8,900,200
5,5,5760,13,1125,250
6,6,6300,19,1350,300
7,7,6840,26,1575,350
8,8,7380,34,1800,400
9,9,7920,43,2025,450
10,10,8460,53,2250,500
11,11,9000,64,2475,550
12,12,9540,76,2700,600
13,13,10080,90,2925,650
14,14,10620,104,3150,700
15,15,11160,120,3375,750
16,16,11700,136,3600,800
17,17,12240,154,3825,850
18,18,12780,172,4050,900
19,19,13320,192,4275,950
20,20,13860,213,4500,1000
21,21,14400,235,4725,1050
22,22,14940,258,4950,1100
23,23,15480,282,5175,1150
24,24,16020,307,5400,1200
25,25,16560,333,5625,1250
26,26,17100,360,5850,1300
27,27,17640,388,6075,1350
28,28,18180,418,6300,1400
29,29,18720,448,6525,1450
30,30,19260,480,6750,1500
31,31,19800,512,6975,1550
32,32,20340,546,7200,1600
33,33,20880,580,7425,1650
34,34,21420,616,7650,1700
35,35,21960,653,7875,1750
36,36,22500,691,8100,1800
37,37,23040,730,8325,1850
38,38,23580,770,8550,1900
39,39,24120,811,8775,1950
40,40,24660,853,9000,2000
41,41,25200,1344,9225,2050
42,42,25740,1411,9450,2100
43,43,26280,1479,9675,2150
44,44,26820,1548,9900,2200
45,45,27360,1620,10125,2250
46,46,27900,1692,10350,2300
47,47,28440,1767,10575,2350
48,48,28980,1843,10800,2400
49,49,29520,1920,11025,2450
50,50,30060,2000,11250,2500
51,51,30600,2080,11475,2550
52,52,31140,2163,11700,2600
53,53,31680,2247,11925,2650
54,54,32220,2332,12150,2700
55,55,32760,2420,12375,2750
56,56,33300,2508,12600,2800
57,57,33840,2599,12825,2850
58,58,34380,2691,13050,2900
59,59,34920,2784,13275,2950
60,60,35460,2880,13500,3000
61,61,36000,2976,13725,3050
62,62,36540,3075,13950,3100
63,63,37080,3175,14175,3150
64,64,37620,3276,14400,3200
65,65,38160,3380,14625,3250
66,66,38700,3484,14850,3300
67,67,39240,3591,15075,3350
68,68,39780,3699,15300,3400
69,69,40320,3808,15525,3450
70,70,40860,3920,15750,3500
71,71,41400,4032,15975,3550
72,72,41940,4147,16200,3600
73,73,42480,4263,16425,3650
74,74,43020,4380,16650,3700
75,75,43560,4500,16875,3750
76,76,44100,4620,17100,3800
77,77,44640,4743,17325,3850
78,78,45180,4867,17550,3900
79,79,45720,4992,17775,3950
80,80,46260,5120,18000,4000
81,81,46800,5248,18225,4050
82,82,47340,5379,18450,4100
83,83,47880,5511,18675,4150
84,84,48420,5644,18900,4200
85,85,48960,5780,19125,4250
86,86,49500,5916,19350,4300
87,87,50040,6055,19575,4350
88,88,50580,6195,19800,4400
89,89,51120,6336,20025,4450
90,90,51660,6480,20250,4500
91,91,52200,6624,20475,4550
92,92,52740,6771,20700,4600
93,93,53280,6919,20925,4650
94,94,53820,7068,21150,4700
95,95,54360,7220,21375,4750
96,96,54900,7372,21600,4800
97,97,55440,7527,21825,4850
98,98,55980,7683,22050,4900
99,99,56520,7840,22275,4950
100,100,57060,8000,22500,5000
