lv,controlLv,money,material,exp,time,costSence
1,1,8551,1,1800,99,200
2,2,10844,1,2700,198,320
3,3,13010,1,3600,297,440
4,4,15280,2,4500,396,560
5,5,17577,4,5400,495,680
6,6,19756,6,6300,594,800
7,7,22037,8,7200,693,920
8,8,24314,11,8100,792,1040
9,9,26578,14,9000,891,1160
10,10,28789,18,9900,990,1280
11,11,31006,22,10800,1089,1400
12,12,33341,26,11700,1188,1520
13,13,35574,30,12600,1287,1640
14,14,37772,35,13500,1386,1760
15,15,40009,40,14400,1485,1880
16,16,42269,46,15300,1584,2000
17,17,44538,52,16200,1683,2120
18,18,46756,58,17100,1782,2240
19,19,49044,65,18000,1881,2360
20,20,51266,72,18900,1980,2480
21,21,53513,80,19800,2079,2600
22,22,55833,88,20700,2178,2720
23,23,58083,96,21600,2277,2840
24,24,60343,104,22500,2376,2960
25,25,62580,113,23400,2475,3080
26,26,64804,122,24300,2574,3200
27,27,67083,132,25200,2673,3320
28,28,69311,142,26100,2772,3440
29,29,71524,152,27000,2871,3560
30,30,73832,163,27900,2970,3680
31,31,76075,174,28800,3069,3800
32,32,78325,186,29700,3168,3920
33,33,80536,198,30600,3267,4040
34,34,82761,210,31500,3366,4160
35,35,85041,222,32400,3465,4280
36,36,87289,235,33300,3564,4400
37,37,89547,248,34200,3663,4520
38,38,91768,262,35100,3762,4640
39,39,94071,276,36000,3861,4760
40,40,96309,290,36900,3960,4880
41,41,98564,458,37800,4059,5000
42,42,100754,481,38700,4158,5120
43,43,103055,504,39600,4257,5240
44,44,105288,528,40500,4356,5360
45,45,107568,552,41400,4455,5480
46,46,109769,577,42300,4554,5600
47,47,112045,602,43200,4653,5720
48,48,114259,628,44100,4752,5840
49,49,116533,654,45000,4851,5960
50,50,118798,681,45900,4950,6080
51,51,121015,709,46800,5049,6200
52,52,123318,737,47700,5148,6320
53,53,125594,766,48600,5247,6440
54,54,127828,795,49500,5346,6560
55,55,130064,825,50400,5445,6680
56,56,132295,855,51300,5544,6800
57,57,134593,886,52200,5643,6920
58,58,136830,917,53100,5742,7040
59,59,139030,949,54000,5841,7160
60,60,141344,981,54900,5940,7280
61,61,143553,1014,55800,6039,7400
62,62,145768,1048,56700,6138,7520
63,63,148046,1082,57600,6237,7640
64,64,150319,1117,58500,6336,7760
65,65,152576,1152,59400,6435,7880
66,66,154819,1188,60300,6534,8000
67,67,157016,1224,61200,6633,8120
68,68,159312,1261,62100,6732,8240
69,69,161538,1298,63000,6831,8360
70,70,163777,1336,63900,6930,8480
71,71,166093,1374,64800,7029,8600
72,72,168257,1413,65700,7128,8720
73,73,170526,1453,66600,7227,8840
74,74,172769,1493,67500,7326,8960
75,75,175003,1534,68400,7425,9080
76,76,177259,1575,69300,7524,9200
77,77,179507,1617,70200,7623,9320
78,78,181808,1659,71100,7722,9440
79,79,184074,1702,72000,7821,9560
80,80,186259,1745,72900,7920,9680
81,81,188581,1789,73800,8019,9800
82,82,190754,1833,74700,8118,9920
83,83,193005,1878,75600,8217,10040
84,84,195266,1924,76500,8316,10160
85,85,197558,1970,77400,8415,10280
86,86,199810,2017,78300,8514,10400
87,87,202085,2064,79200,8613,10520
88,88,204265,2112,80100,8712,10640
89,89,206594,2160,81000,8811,10760
90,90,208832,2209,81900,8910,10880
91,91,211047,2258,82800,9009,11000
92,92,213325,2308,83700,9108,11120
93,93,215599,2358,84600,9207,11240
94,94,217784,2409,85500,9306,11360
95,95,220021,2461,86400,9405,11480
96,96,222309,2513,87300,9504,11600
97,97,224517,2566,88200,9603,11720
98,98,226849,2619,89100,9702,11840
99,99,229059,2673,90000,9801,11960
100,100,231331,2727,90900,9900,12080
