id,文本名,类型（0我要变强1我要赚钱2我要升级3我要声望）,图片地址,点击脚本(打开非家园里面的脚本为openView|界面id【界面ID找程序要】;家园脚本openCampHome|家园房间id;打开伙伴标签页openPartnerViewTab|标签id),TIPS,排序索引,是否家园功能相关,界面id用于判断是否开启(家园房间id 2训练室 3研究室 4生产室 5载具室)
id,name,type,path,script,tips,index,isHome,openId
1,装备强化,0,1,openView|6,完成任务【追来的人造人】后开启,0,0,6
2,伙伴提升,0,2,openView|47,完成任务【伙伴进阶】后开启,1,0,504
3,龙典激活,0,3,openView|4,完成任务【龙典秘籍】后开启,2,0,4
4,属性研究,0,4,openCampHome|32,完成任务【科技研究】后开启,3,1,2
5,技能提升,0,5,openView|63,完成任务【新的技能】后开启,4,0,63
6,亲密度赠送,0,6,openPartnerViewTab|2,完成任务【参加武道会】后开启,5,0,503
7,装备洗练,0,7,openPage|0,完成任务【嚣张的银大佐】后开启,6,0,500
8,元气,0,8,openView|5,完成任务【变异的小悟空】后开启,7,0,5
9,剧情和任务,1,9,,随着剧情推进完成任务可以获得索尼奖励,0,0,0
10,生产和订单,1,10,openCampHome|31,完成任务【家园生产】后开启,1,1,4
11,探险,1,11,openCampHome|29,完成任务【探险出航】后开启,2,1,5
12,资源占领,1,12,openView|16,完成任务【海盗的机关】后开启,3,0,17
13,竞技排名,1,13,openView|15,完成任务【竞技场】后开启,4,0,16
14,精英副本,1,14,openView|444444,完成任务【贪玩的阿拉蕾】后开启,5,0,21
15,神龙许愿,1,15,openView|101,完成任务【获得1星龙珠】后开启,6,0,32
16,调教下属,1,16,openView|99,等级达到30级在家园中开启,7,1,2
17,竞答活动,1,17,,等级达到20级在活动中参加，每日进行的竞答活动可以获得索尼奖励,8,0,0
18,BOSS活动,1,18,,等级达到30级在活动中参加，每日进行的BOSS活动可以获得索尼奖励,9,0,0
19,历练,2,19,openView|9,完成任务【营救布尔玛】后开启,0,0,9
20,伙伴训练,2,20,openCampHome|30,完成任务【伙伴训练】后开启,1,1,2
21,剧情关卡,2,9,,击败剧情关卡的队伍可以获得经验,2,0,0
22,精英副本,2,14,openView|444444,完成任务【贪玩的阿拉蕾】后开启,3,0,21
23,组队副本,2,21,openView|7,完成任务【寻找美女】后开启,4,0,7
24,竞答活动,2,17,,等级达到20级在活动中参加，每日进行的竞答活动可以获得索尼奖励,5,0,0
25,竞技排名,3,13,openView|15,完成任务【竞技场】后开启,0,0,16
26,公会捐献,3,22,openView|20,完成任务【恐怖的兔人参】后开启,1,0,509
27,寻宝,3,23,openView|35,完成任务【寻宝】后开启,2,0,20
28,神龙许愿,3,15,openView|101,完成任务【获得1星龙珠】后开启,3,0,32
29,精英副本,3,14,openView|444444,完成任务【贪玩的阿拉蕾】后开启,4,0,21
30,BOSS活动,1,18,,等级达到30级在活动中参加，每日进行的BOSS活动可以获得声望,5,0,0
