称号id,称号类型,类型参数 类型为2时候填写Url 1的时候填写颜色值,称号名称,气,敏,体,精,生命,暴击,格挡,韧性,识破,攻击力,格斗防御,气功防御,精神防御,暴击率,格挡率,韧性率,识破率,攻击力百分比,格斗防御百分比,气功防御百分比,精神防御百分比,真实伤害值,绝对减伤值
id,type,parameter,name,nature1,nature2,nature3,nature4,nature5,nature6,nature7,nature8,nature9,nature10,nature11,nature12,nature13,nature14,nature15,nature16,nature17,nature18,nature19,nature20,nature21,nature22,nature23
1,1,#0ade55,寻龙者,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,#0ade55,武神的接班人,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,#0ade55,龙神眷顾的人,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,#0ade55,天下第一,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,#0ade55,武道会选手,0,0,0,0,0,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,#0ade55,罪恶克星,0,0,0,0,0,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,#0ade55,猎魔人,0,0,0,0,0,35,35,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,#0ade55,斗牛士,0,0,0,0,40,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,#0ade55,屠龙勇士,0,0,0,0,45,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,#0ade55,超级战士,0,0,0,0,60,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,#0ade55,魔怪终结者,0,0,0,0,70,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1,#0ade55,终极战士,0,0,0,0,100,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,#0ade56,z战士,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0
14,1,#0ade55,独孤求败,0,0,0,0,0,0,0,0,0,0,15,15,15,0,0,0,0,0,0,0,0,0,0
15,1,#0ade55,撒旦先生,0,0,0,0,0,0,0,0,0,0,35,35,35,0,0,0,0,0,0,0,0,0,0
16,1,#0ade55,不作死不会死,0,0,0,0,0,0,0,0,0,0,80,80,80,0,0,0,0,0,0,0,0,0,0
17,1,#0ade55,探险家,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1,#0ade55,杰克船长,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1,#0ade55,成就达人,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1,#0ade55,深藏功与名,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1,#0ade55,初出茅庐,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1,#0ade55,传说勇士,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1,#0ade55,偶像武者,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1,#0ade55,我是传奇,0,0,0,0,50,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,#0ade55,龙珠博士,0,0,0,0,150,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1,#0ade55,布袋和尚,0,0,0,0,100,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1,#0ade55,机器猫,0,0,0,0,200,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1,#0ade55,包包爱好者,0,0,0,0,300,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1,#0ade55,富二代,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1,#0ade55,高富帅,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1,#0ade55,土豪,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1,#0ade55,最佳拍档,5,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1,#0ade55,聚合者,42,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1,#0ade55,上帝之手,99,0,0,0,499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1,#0ade55,赛亚人,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1,#0ade56,超级赛亚人,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,1,#0ade57,超级赛亚人第三阶,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,1,#0ade55,包工头,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,1,#0ade55,建筑商,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1,#0ade55,家园建设者,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,1,#0ade55,强化师,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,1,#0ade55,强化达人,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,1,#0ade55,神级强化大师,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,1,#0ade55,工艺追求者,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,#0ade55,工艺达人,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,1,#0ade55,神级工艺大师,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,1,#0ade55,神器拥有者,9,9,9,9,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,1,#0ade55,基友遍天下,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1,#0ade55,装备制造者,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1,#0ade55,神器制造者,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,1,#0ade55,宝物猎人,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,1,#0ade55,盗侠,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,1,#0ade55,盗圣,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
