题号（ID）,正确答案（1，2，3，4）,A选项,B选项,C选项,D选项,题目描述
id,right,A,B,C,D,detail
1,4,北京热酷,上海热酷,重庆酷热,重庆热酷,《热血七龙珠》是哪个公司研发的产品？
2,4,11,12,14,15,世界聊天到了多少级才能发出去？
3,1,索尼,铜币,银币,索拉,哪些是我们游戏中的货币？
4,4,10,110,120,100,行动力最高是多少？
5,1,4,3,2,1,系统提供了几种角色形象可以创建？
6,1,5,4,3,2,角色有几种基础属性类型？
7,3,内径,生命,攻击力,精神防御资质,哪种不属于游戏中的基础属性类型？
8,2,5,4,3,2,角色有几种战斗属性类型？
9,2,攻击力,物理防御,格斗防御,气功防御,哪种战斗属性类型不属于角色的？
10,1,4,3,2,1,游戏中有几种二级属性？
11,3,暴击,韧性,毅力,识破,哪种二级属性类型不属于角色的？
12,4,1,3,5,7,伙伴最多能拥有几颗星资质？
13,2,攻击力资质,防御力资质,气功防御资质,精神防御资质,哪种不属于伙伴资质类型？
14,2,23,24,25,30,背包中初始可以使用的格子有多少个？
15,4,1,5,3,6,玩家的装备有几种品质？
16,4,1,3,4,6,玩家最多能装备多少件装备？
17,3,孙悟空,特兰克斯,乌玛星,孙悟饭,第一个加入的伙伴是哪位？
18,1,100%,10%,50%,60%,乌玛星的怒气技能防御力提高多少？
19,1,鸟山明,鸡山明,狗山明,蛋山明,《七龙珠》的作者是哪位？
20,4,孙悟空,孙悟饭,赛亚人,贝吉塔,特兰克斯是谁的儿子？
21,1,孙悟空,孙悟饭,短笛,小林,孙悟饭的孙子是谁？
22,2,特兰克斯,孙悟天,小林,贝吉塔,孙悟空是谁的爸爸？
23,2,美国人,贝吉塔星人,地球人,泰国人,孙悟空是哪里人？
24,4,1,2,4,5,伙伴训练提供几种模式训练？
25,1,2,3,4,5,孙悟空是第几个加入你的伙伴？
26,2,1,2,3,4,第一次解锁背包需要多少金币？
27,4,卫生间,厨房,浴缸,主控室,家园中第一个解锁的建筑是什么？
28,3,蛇派气功波,牛派气功波,龟波气功波,鸡派气功波,秦龙使用的是什么气功？
29,4,气功,拳击,脚踢,变身,乌龙会什么技能？
30,3,仙人龟,布尔玛,龟仙人,特兰克斯,筋斗云是谁送给悟空武器的？
31,2,指南针,龙珠仪,龙珠搜寻犬,龙珠地图,布尔玛用什么搜寻龙珠的？
32,1,胶囊,气囊,药囊,胶皮,布尔玛用什么东西变成工具的？
33,3,孙悟空,红孩儿,牛魔王,龟仙人,琪琪是谁的女儿？
34,1,5,6,7,8,龟仙人有几个徒弟？
35,1,龟仙人,孙悟空,小林,牛魔王,乐平的师傅是谁？
36,3,气功波,气功球,猜拳,铁拳,小悟空的怒气初始技能叫什么？
37,2,20,30,40,50,家园收集一次资源需要多少分钟？
38,4,黄色,蓝色,红色,橙色,游戏中的顶级装备是什么颜色？
39,2,2,3,4,5,伙伴被动技能最多能装备多少个
40,1,白色,绿色,红色,橙色,游戏中最差的品质装备是什么颜色的？
41,2,卖东西的,买东西的,没用的,不知道,索尼是用来干什么的？
42,2,4星球和筋斗云,四星球和如意棒,如意棒和筋斗云,三星球和如意棒,孙悟空的爷爷留给她什么遗物？
