level,quality1,quality2,quality3,quality4,quality5,quality6
0,0,50,100,150,200,250
1,0,39,59,78,98,118
2,0,80,121,161,202,242
3,0,143,214,286,357,429
4,0,226,339,452,566,679
5,0,330,495,661,826,991
6,0,455,683,911,1139,1366
7,0,601,902,1203,1504,1805
8,0,768,1153,1537,1921,2306
9,0,956,1435,1913,2391,2870
10,0,1165,1748,2331,2914,3496
11,0,1395,2093,2791,3489,4186
12,0,1646,2469,3293,4116,4939
13,0,1918,2878,3837,4796,5756
14,0,2211,3317,4423,5529,6635
15,0,2525,3788,5051,6314,7577
16,0,2860,4291,5721,7152,8582
17,0,3217,4825,6434,8042,9651
18,0,3594,5391,7188,8986,10783
19,0,3992,5989,7985,9981,11978
20,0,4412,6618,8824,11030,13236
21,0,4852,7278,9705,12131,14557
22,0,5314,7971,10628,13285,15942
23,0,5796,8694,11593,14491,17389
24,0,6300,9450,12600,15750,18901
25,0,6825,10237,13650,17062,20475
26,0,7371,11056,14742,18427,22113
27,0,7937,11906,15875,19844,23813
28,0,8526,12789,17052,21315,25578
29,0,9135,13702,18270,22838,27405
30,0,9765,14648,19531,24413,29296
31,0,10416,15625,20833,26042,31250
32,0,11089,16634,22178,27723,33268
33,0,11783,17674,23566,29457,35349
34,0,12497,18746,24995,31244,37493
35,0,13233,19850,26467,33084,39701
36,0,13990,20986,27981,34977,41972
37,0,14768,22153,29537,36922,44306
38,0,15568,23352,31136,38920,46704
39,0,16388,24583,32777,40971,49166
40,0,17230,25845,34460,43075,51690
41,0,18092,27139,36185,45232,54278
42,0,18976,28465,37953,47442,56930
43,0,19881,29822,39763,49704,59645
44,0,20808,31212,41616,52020,62424
45,0,21755,32632,43510,54388,65265
46,0,22723,34085,45447,56809,68171
47,0,23713,35570,47426,59283,71140
48,0,24724,37086,49448,61810,74172
49,0,25756,38634,51512,64390,77268
50,0,26809,40213,53618,67023,80427
51,0,27883,41825,55766,69708,83650
52,0,28978,43468,57957,72447,86936
53,0,30095,45143,60191,75238,90286
54,0,31233,46849,62466,78083,93699
55,0,32392,48588,64784,80980,97176
56,0,33572,50358,67144,83930,100717
57,0,34773,52160,69547,86934,104321
58,0,35996,53994,71992,89990,107988
59,0,37239,55859,74479,93099,111719
60,0,38504,57756,77009,96261,115513
61,0,39790,59686,79581,99476,119372
62,0,41097,61646,82195,102744,123293
63,0,42426,63639,84852,106065,127278
64,0,43775,65663,87551,109439,131327
65,0,45146,67720,90293,112866,135440
66,0,46538,69807,93077,116346,139615
67,0,47951,71927,95903,119879,143855
68,0,49386,74079,98772,123465,148158
69,0,50841,76262,101683,127104,152525
70,0,52318,78477,104636,130796,156955
71,0,53816,80724,107632,134541,161449
72,0,55335,83003,110671,138339,166006
73,0,56875,85313,113751,142189,170627
74,0,58437,87656,116875,146093,175312
75,0,60020,90030,120040,150050,180060
76,0,61624,92436,123248,154060,184872
77,0,63249,94874,126498,158123,189748
78,0,64895,97343,129791,162239,194687
79,0,66563,99845,133126,166408,199690
80,0,68252,102378,136504,170630,204756
81,0,69962,104943,139924,174905,209887
82,0,71693,107540,143387,179233,215080
83,0,73446,110169,146892,183615,220338
84,0,75219,112829,150439,188049,225659
85,0,77014,115521,154029,192536,231043
86,0,78830,118246,157661,197076,236492
87,0,80668,121002,161336,201670,242004
88,0,82526,123790,165053,206316,247580
89,0,84406,126609,168812,211016,253219
90,0,86307,129461,172614,215768,258922
91,0,88229,132344,176459,220574,264689
92,0,90173,135259,180346,225432,270519
93,0,92137,138206,184275,230344,276413
94,0,94123,141185,188247,235309,282371
95,0,96130,144196,192261,240327,288392
96,0,98159,147239,196318,245398,294478
97,0,100208,150313,200417,250522,300626
98,0,102279,153419,204559,255699,306839
99,0,104371,156557,208743,260929,313115
100,0,106485,159727,212970,266213,319455
