id,类型,索尼,阅历,声望,金币,材料,行动力,物品,最大数量,任务描述,图标,按钮类型
id,type,money,scene,prestige,gold,material,action,goods,awardnum,describe,icon,btnType
101,1,,,,,,5,,-1,任意一件蓝色装备强化到+35,action,1
201,2,,,,200,,,,10,声望达到10000,gold,2
401,4,,,200,,,,,10,招募伙伴：牛魔王,prestige,3
402,4,,,500,,,,,10,招募伙伴：龟仙人,prestige,3
501,5,2000000,1000000,,,,,,10,家园生产等级达到4级,money_scene,4
601,6,,,,,,5,,-1,将小悟空等级提升到35级,action,5
801,8,2000000,1000000,,,,,,10,累计家园探险次数：150次,money_scene,6
901,9,,,,,,5,,-1,累计攻击宇宙BOSS次数：30次,action,7
1001,10,,2000000,1000,,,,,-1,等级排行,scene_prestige,8
1002,10,,1000000,400,,,,,-1,等级排行,scene_prestige,8
1003,10,,500000,200,,,,,-1,等级排行,scene_prestige,8
1004,10,,250000,100,,,,,-1,等级排行,scene_prestige,8
1101,11,5000000,,500,,,,,-1,竞技场排行,money_prestige,9
1102,11,2000000,,200,,,,,-1,竞技场排行,money_prestige,9
1103,11,1000000,,100,,,,,-1,竞技场排行,money_prestige,9
1104,11,500000,,50,,,,,-1,竞技场排行,money_prestige,9
1201,12,,1000000,,500,,,,-1,声望排行,scene_gold,10
1202,12,,500000,,250,,,,-1,声望排行,scene_gold,10
1203,12,,250000,,125,,,,-1,声望排行,scene_gold,10
1204,12,,100000,,100,,,,-1,声望排行,scene_gold,10
