副本id,副本名字,达成条件1,达成条件2,达成条件3,奖励阅历,奖励声望,奖励经验,奖励金币,道具
id,name,s0,s1,s2,sence1,renown1,money1,gold1,item
1,名字1,"达成条件1,3","达成条件2,2","达成条件3,1",100,100,100,100,100
2,名字2,"达成条件1,4","达成条件2,5","达成条件3,1",100,100,100,100,100
3,名字3,"达成条件1,3","达成条件2,2","达成条件3,1",100,100,100,100,100
4,名字4,"达成条件1,4","达成条件2,5","达成条件3,1",100,100,100,100,100
5,名字5,"达成条件1,3","达成条件2,2","达成条件3,1",100,100,100,100,100
6,名字6,"达成条件1,4","达成条件2,5","达成条件3,1",100,100,100,100,100
7,名字7,"达成条件1,3","达成条件2,2","达成条件3,1",100,100,100,100,100
8,名字8,"达成条件1,4","达成条件2,5","达成条件3,1",100,100,100,100,100
9,名字9,"达成条件1,3","达成条件2,2","达成条件3,1",100,100,100,100,100
10,名字10,"达成条件1,4","达成条件2,5","达成条件3,1",100,100,100,100,100
