level,seriavalue
0_1,40
0_2,50
0_3,60
0_4,70
0_5,80
0_6,90
1_1,100
1_2,200
1_3,300
1_4,400
1_5,500
1_6,600
2_1,100
2_2,200
2_3,300
2_4,400
2_5,500
2_6,600
3_1,100
3_2,200
3_3,300
3_4,400
3_5,500
3_6,600
4_1,100
4_2,200
4_3,300
4_4,400
4_5,500
4_6,600
5_1,100
5_2,200
5_3,300
5_4,400
5_5,500
5_6,600
6_1,100
6_2,200
6_3,300
6_4,400
6_5,500
6_6,600
7_1,100
7_2,200
7_3,300
7_4,400
7_5,500
7_6,600
8_1,100
8_2,200
8_3,300
8_4,400
8_5,500
8_6,600
9_1,100
9_2,200
9_3,300
9_4,400
9_5,500
9_6,600
10_1,100
10_2,200
10_3,300
10_4,400
10_5,500
10_6,600
11_1,100
11_2,200
11_3,300
11_4,400
11_5,500
11_6,600
12_1,100
12_2,200
12_3,300
12_4,400
12_5,500
12_6,600
