等级,索尼消耗,成功率
lv,gold,odds
0,209,10000
1,467,10000
2,660,10000
3,882,10000
4,1015,10000
5,1279,9900
6,1481,9900
7,1661,9900
8,2075,9800
9,2682,9800
10,3226,9800
11,3820,9700
12,4495,9700
13,5200,9700
14,6038,9600
15,6800,9600
16,7607,9600
17,8683,9500
18,9658,9500
19,10615,9500
20,11672,9400
21,12849,9400
22,14001,9400
23,15276,9300
24,16602,9300
25,18034,9300
26,19452,9200
27,20819,9200
28,22450,9200
29,24018,9100
30,25639,9100
31,27263,9100
32,29007,9000
33,30892,9000
34,32656,9000
35,34464,8900
36,36441,8900
37,38449,8900
38,40441,8800
39,42674,8800
40,44859,8800
41,47032,8700
42,49268,8700
43,51686,8700
44,54092,8600
45,56488,8600
46,58861,8600
47,61467,8500
48,64071,8500
49,66634,8500
50,69246,8500
51,72071,8400
52,74859,8400
53,77618,8400
54,80674,8400
55,83633,8300
56,86695,8300
57,89655,8300
58,92861,8300
59,96093,8200
60,180223,8200
61,189450,8200
62,199007,8200
63,209094,8100
64,219439,8100
65,230004,8100
66,241031,8100
67,252246,8000
68,264096,8000
69,276062,8000
70,269039,7300
71,279093,7300
72,289074,7200
73,299049,7200
74,309001,7200
75,319087,7100
76,329046,7100
77,339062,7000
78,349041,7000
79,359008,7000
80,369048,6900
81,379072,6900
82,389053,6800
83,399046,6800
84,409063,6800
85,419077,6700
86,429050,6700
87,439070,6600
88,449053,6600
89,459044,6600
90,469013,6500
91,479021,6500
92,489013,6400
93,499078,6400
94,509071,6400
95,519026,6300
96,529038,6300
97,539001,6200
98,549069,6200
99,559055,6200
