error_code,error_type,error_info,error_comment
0x0001,1,玩家是非法玩家,玩家是非法玩家
0x0011,2,不允许重复创建相同角色,不允许重复创建相同角色
0x0012,0,GM指令重复,GM指令重复
0x0013,0,Gm指令格式不对,Gm指令格式不对
0x0020,1,玩家重复登陆,玩家重复登陆
0x0021,1,免费赠送次数不够,免费赠送次数不够
0x0022,1,没有足够的金币,没有足够的金币
0x0023,1,不允许主角下阵,不允许主角下阵
0x0024,1,没有可招募的伙伴,没有可招募的伙伴
0x0025,1,已经达到可招募的伙伴的最大上限,已经达到可招募的伙伴的最大上限
0x0026,1,声望不够,声望不够
0x0027,1,会谈次数不够,会谈次数不够
0x0028,1,刷新次数不够,刷新次数不够
0x0029,1,总刷新次数不够,总刷新次数不够
0x0030,1,没有亲密度道具,没有亲密度道具
0x0031,1,需要招募的伙伴不存在,需要招募的伙伴不存在
0x0032,1,招募的伙伴已经存在,招募的伙伴已经存在
0x0033,1,游戏在维护中,游戏在维护中
0x0040,2,已升到最大等级,已升到最大等级
0x0041,2,"经验不足,不能升级","经验不足,不能升级"
0x1001,2,此位置没有开放,此位置没有开放
0x1002,2,主角不能离阵,主角不能离阵
0x1003,2,已达到该阵形最大上限人数,已达到该阵形最大上限人数
0x0500,2,背包已满,背包已满
0x0501,2,伙伴等级不足，不能装备,伙伴等级不足，不能装备
0x0502,2,主伙伴等级不足，不能使用物品,主伙伴等级不足，不能使用物品
0x0503,2,背包空间不足，卸下装备 ,背包空间不足，卸下装备 
0x0504,1,对象不在线，不能私聊 ,对象不在线，不能私聊 
0x0505,1,输入的好友名不存在，请重新输入,输入的好友名不存在，请重新输入
0x0506,1,你已经添加了该好友,你已经添加了该好友
0x0507,1,已达到每天送花上限,已达到每天送花上限
0x0508,1,今天已经分享,今天已经分享
0x0509,1,已达到每天送花上限,已达到每天送花上限
0x0510,1,今天已经送花,今天已经送花
0x0511,1,金币不足,金币不足
0x0512,1,已经加入其他公会,已经加入其他公会
0x0513,1,等级不足,等级不足
0x0514,1,已经加入黑名单,已经加入黑名单
0x0515,1,公会名称已被创建,公会名称已被创建
0x0516,1,已经到了申请公会的最大上限,已经到了申请公会的最大上限
0x0517,1,今天已经捐献过了,今天已经捐献过了
0x0518,1,你已经达到最大次数。不能增加人数上线了,你已经达到最大次数。不能增加人数上线了
0x0519,1,不能踢出自己,不能踢出自己
0x0520,1,你的权限不够,你的权限不够
0x0521,1,更新公会密码成功,更新公会密码成功
0x0522,1,今天已到捐献的最高上限,今天已到捐献的最高上限
0x0523,1,已经申请过本公会,已经申请过本公会
0x0524,1,等级不足，无法激活,等级不足，无法激活
0x0525,1,声望不足，无法激活,声望不足，无法激活
0x0526,1,经验不足，无法激活,经验不足，无法激活
0x0527,1,阅历不足，无法激活,阅历不足，无法激活
0x0528,1,金钱不足，无法激活,金钱不足，无法激活
0x0529,1,激活天赋图需B，无法激活,激活天赋图需B，无法激活
0x0530,1,激活成功,激活成功
0x0531,1,没有找到此道具,没有找到此道具
0x0532,1,激活失败,激活失败
0x0533,1,该伙伴不可变身,该伙伴不可变身
0x0534,1,"游戏币不足,变身失败","游戏币不足,变身失败"
0x0535,1,"阅历不足,变身失败","阅历不足,变身失败"
0x0536,1,"人物等级不足,变身失败","人物等级不足,变身失败"
0x0537,1,"进阶点不足,无法提升","进阶点不足,无法提升"
