任务id,类型,阅历奖励,积分奖励,完成数量,品质,任务名称,任务描述,金币完成价格
id,type,sceneAward,pointAward,num,quality,taskName,describe,goldPrice
1,1,800,1,1,1,探险,在家园中探险1次,10
2,1,1600,2,1,2,探险,在家园中探险1次,10
3,1,3200,3,2,3,探险,在家园中探险2次,10
4,1,6400,4,3,4,探险,在家园中探险3次,10
5,2,800,1,1,1,打怪,击败主线副本的部队1次,10
6,2,1600,2,1,2,打怪,击败主线副本的部队1次,10
7,2,3200,3,2,3,打怪,击败主线副本的部队2次,10
8,2,6400,4,3,4,打怪,击败主线副本的部队3次,10
9,3,800,1,1,1,洗练,任意方式洗练1次,10
10,3,1600,2,1,2,洗练,任意方式洗练1次,10
11,3,3200,3,2,3,洗练,任意方式洗练2次,10
12,3,6400,4,3,4,洗练,任意方式洗练3次,10
13,4,800,1,1,1,强化,强化任意装备1次,10
14,4,1600,2,1,2,强化,强化任意装备1次,10
15,4,3200,3,2,3,强化,强化任意装备2次,10
16,4,6400,4,3,4,强化,强化任意装备3次,10
17,5,800,1,1,1,突飞,突飞伙伴1次,10
18,5,1600,2,1,2,突飞,突飞伙伴1次,10
19,5,3200,3,2,3,突飞,突飞伙伴2次,10
20,5,6400,4,3,4,突飞,突飞伙伴3次,10
21,6,800,1,1,1,竞技场,前往竞技场挑战1次,10
22,6,1600,2,1,2,竞技场,前往竞技场挑战1次,10
23,6,3200,3,2,3,竞技场,前往竞技场挑战2次,10
24,6,6400,4,3,4,竞技场,前往竞技场挑战3次,10
25,7,800,1,1,1,生产,在家园中生产1次,10
26,7,1600,2,1,2,生产,在家园中生产1次,10
27,7,3200,3,2,3,生产,在家园中生产2次,10
28,7,6400,4,3,4,生产,在家园中生产3次,10
29,8,800,1,1,1,元气,聚气获得元气1次,10
30,8,1600,2,1,2,元气,聚气获得元气1次,10
31,8,3200,3,2,3,元气,聚气获得元气2次,10
32,8,6400,4,3,4,元气,聚气获得元气3次,10
33,9,800,1,1,1,修炼,修炼伙伴任意属性1次,10
34,9,1600,2,1,2,修炼,修炼伙伴任意属性1次,10
35,9,3200,3,2,3,修炼,修炼伙伴任意属性2次,10
36,9,6400,4,3,4,修炼,修炼伙伴任意属性3次,10
37,10,800,1,1,1,金币消费,消费任意数量的金币1次,10
38,10,1600,2,1,2,金币消费,消费任意数量的金币1次,10
39,10,3200,3,2,3,金币消费,消费任意数量的金币2次,10
40,10,6400,4,3,4,金币消费,消费任意数量的金币3次,10
