id,战斗力,阅历,索尼,大等级,小等级
id,fight,scene,money,b_lv,s_lv
0,0,50,50,1,1
1,5000,100,100,1,2
2,10000,200,200,1,3
3,15000,200,200,1,4
4,20000,100,100,1,5
5,25000,200,200,1,6
6,30000,200,200,1,7
7,35000,200,200,1,8
8,40000,200,200,1,9
9,45000,300,300,2,1
10,50000,400,400,2,2
11,55000,500,500,2,3
12,60000,300,300,2,4
13,65000,400,400,2,5
14,70000,500,500,2,6
15,75000,300,300,2,7
16,80000,400,400,2,8
17,85000,500,500,2,9
18,90000,600,600,3,1
19,95000,700,700,3,2
20,100000,800,800,3,3
21,105000,600,600,3,4
22,110000,700,700,3,5
23,115000,800,800,3,6
24,120000,600,600,3,7
25,125000,700,700,3,8
26,130000,800,800,3,9
27,135000,900,900,4,1
28,140000,900,900,4,2
29,145000,900,900,4,3
30,150000,900,900,4,4
31,155000,900,900,4,5
32,160000,900,900,4,6
33,165000,900,900,4,7
34,170000,900,900,4,8
35,175000,900,900,4,9
36,180000,900,900,5,1
37,185000,900,900,5,2
38,190000,900,900,5,3
39,195000,900,900,5,4
40,200000,900,900,5,5
41,205000,900,900,5,6
42,210000,900,900,5,7
43,215000,900,900,5,8
44,220000,900,900,5,9
