id,索尼,金币,阅历,声望,功能id,图片,名称,描述
id,GameMoney,Money,Experience,Reputation,functionID,img,name,msg
1,1000,0,100,0,1,2,伙伴介绍,显示主角和伙伴的任务属性
2,1000,0,100,0,2,1,背包介绍,物品存放地
3,1500,0,150,0,3,3,阵形介绍,可以调整伙伴作战时候的位置
4,2000,0,200,0,4,4,龙典介绍,随着等级提升，而增加属性
5,5000,0,500,0,5,5#6,元气介绍,通过元气收集可增加人物属性
6,2000,0,200,0,6,7,强化介绍,强化装备，增加属性
7,3000,0,300,0,7,8,组队介绍,多个玩家可一起挑战副本
8,2000,0,200,0,509,9,公会介绍,玩家的主要交流平台
9,2000,0,200,0,9,10,历练介绍,可离线获得经验
10,2000,0,200,0,10,11,酒馆介绍,可以邀请伙伴加入你的队伍
11,3000,0,300,0,12,12,七天登陆介绍,七天连续签到一次可领取奖励
12,6000,0,600,0,14,13,日常任务介绍,每天完成一定的任务，获得丰厚奖励
13,5000,0,500,0,15,14,占卜介绍,获得一定的装备奖励
14,6000,0,600,0,16,15,竞技场介绍,可以挑战本服中各种竞技强人
15,5000,0,500,0,17,16,资源战介绍,可以获得丰厚的索尼奖励
16,5000,0,500,0,18,17,工匠村介绍,玩家可以制作出戒指装备
17,4000,0,400,0,19,18,家园介绍,玩家可以产出大量的索尼
18,3000,0,300,0,20,19,寻宝介绍,搜寻出想要的道具装备
19,3000,0,300,0,21,20,精英副本介绍,挑战高难度的怪物
20,5000,0,500,0,22,21,海盗洞介绍,通过猜想获得装备
21,3000,0,300,0,23,22,搜寻,搜寻装备
22,4000,0,400,0,99,23,宇宙BOSS介绍,与世界上最强的BOSS较量
23,8000,0,800,0,25,1#1#4,武道会介绍,暂时还没有功能。
24,4000,0,400,0,505,24,修炼介绍,修炼可增伙伴的属性
25,5000,0,500,0,504,25,进阶介绍,伙伴可以逐渐提升能力
26,5000,0,500,0,500,26,洗练介绍,玩家可以通过洗练改变装备的属性
27,6000,0,600,0,506,27,领悟介绍,消耗阅历增加伙伴属性
28,5000,0,500,0,507,33,会谈,这里可以会谈到新的伙伴。
29,5000,0,500,0,508,34,变身,伙伴可以变身到最强。
30,5000,0,500,0,503,40#41#42,亲密度,亲密度增加伙伴的属性。
31,5000,0,500,0,502,43#44,技能,调整技能可以增加能力。
32,5000,0,500,0,32,46,神龙许愿,搜集龙珠可向神龙许愿。
33,5000,0,500,0,30,45,技伙伴图鉴,可以查看伙伴的详细内容。
