lv,point
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,10
41,21
42,33
43,45
44,58
45,71
46,84
47,97
48,111
49,125
50,139
51,153
52,168
53,183
54,198
55,213
56,229
57,245
58,261
59,277
60,293
61,309
62,326
63,343
64,360
65,377
66,394
67,411
68,428
69,446
70,464
71,482
72,500
73,518
74,536
75,554
76,573
77,592
78,611
79,630
80,649
81,668
82,687
83,706
84,725
85,745
86,765
87,785
88,805
89,825
90,845
91,865
92,885
93,905
94,925
95,945
96,965
97,985
98,1005
99,1025
100,1045
