引导id,条件                            1:等级                          2:接受任务                      3:完成任务                  4:功能开放                      例：                         1#等级                           2#任务ID                          3#任务ID                  4#功能ID,目标,箭头坐标,内容描述,,
id,conditions,target,object,icon,xy,wh
1,2#1,43#0|1#0|1,19|66#400|320#400|320,1#2#2,1079|195#400|313#400|313,165|43#400|32#400|32
2,2#2,0|1#43,400|320#19|66,2#1,400|3133#400|313,400|323#400|313
3,4#23,topButton|38#38|updataType#38|Excavate#38|Excavate#38|Excavate#38|Excavate#38|Excavate#38|Excavate#38|Excavate#38|Excavate#38|CallDragon,362|40#1168|183#344|319#344|319#344|319#344|319#344|319#344|319#344|319#344|319#536|596,119#120#121#121#121#121#121#121#121#121#122,0|0#1168|183#344|319#344|319#344|319#344|319#344|319#344|319#344|319#651|596#651|596,0|0#1168|183#344|319#344|319#344|319#344|319#344|319#344|319#344|319#651|596#651|596
4,2#7001,87|click#87|close#43#0|1#0|3,428|483#667|13#19|66#400|320#400|320,65#7#1#2#2,0|0#0|0#0|0#0|0#0|0,1260|663#1260|663#1260|663#1260|663#1260|663
5,2#3,41|enterCopy#42|ClickBar1#42T|attack#42|ClickBar2#42T|attack#42|ClickBar9000#42T|attack#42|ClickBar3#42T|attack#43#0|1,561|464#297|214#210|451#340|306#210|451#413|244#210|451#486|308#210|451#19|66#400|320,8#9#10#9#10#9#10#9#10#1#2,832|502#274|161#514|508#326|265#514|508#394|201#514|508#466|268#514|508#1079|195#400|313,110|37#81|77#111|45#81|77#111|45#81|77#111|45#81|77#111|45#165|43#400|32
6,4#6,bottomButton|6#6|itemclick#6|strengthen#6|close#43#0|3#0|1,460|43#160|111#593|435#761|12#15|48#400|320#400|320,11#12#13#7#3#2#2,1139|579#328|170#790|510#935|89#1079|195#400|313#400|313,63|71#178|73#97|28#38|38#165|43#400|32#400|32
7,5#5,0|2#41|enterCopy#42|ClickBar4#42T|attack#42|ClickBar5#42T|attack#42|ClickBar9001#42T|attack#42|ClickBar6#42T|attack#43#0|1#0|3#0|2,400|320#561|464#431|483#210|451#530|426#210|451#634|447#210|451#653|337#210|451#19|66#400|320#400|320#400|320,2#8#9#10#9#10#9#10#9#10#1#2#2#2,400|313#832|502#404|441#514|508#516|376#514|508#613|402#514|508#638|287#514|508#1079|195#400|313#400|313#400|313,400|32#110|37#81|77#111|45#81|77#111|45#81|77#111|45#81|77#111|45#165|43#400|32#400|32#400|313
8,4#10,bottomButton|90#bottomButton|40#40|Invitaion12000#40|Invitaion#40|close#43#0|1#0|3,530|36#517|-38#191|306#207|212#665|14#19|66#400|320#400|320,14#109#15#19#7#1#2#2,1202|588#430|358#447|305#905|109#1079|195#400|313#400|313#400|313,64|78#56|56#83|31#36|31#165|43#400|32#400|313#400|313
9,4#3,bottomButton|3#3|PlayerClick#3|close#43#0|1#0|3#0|1#43#0|3#0|1,367|28#272|202#612|14#19|66#400|320#400|320#400|320#15|48#400|320#400|320,20#62#7#1#2#2#2#1#2#2,1026|585#0|0#900|116#1079|195#400|313#400|313#400|313#400|313#400|313#400|313,51|65#0|0#36|30#165|43#400|32#400|32#400|313#400|313#400|313#400|313
