id,lv1 100,lv2 50,lv3 20
11000,"7901,1",,
11001,"7901,1",,
11002,"7901,1",,
11003,"7901,1",,
11004,"7901,1",,
11005,"7901,1",,
11006,"7901,1","7901,2",
11007,"7901,1",,
11008,"7902,1","7901,2",
11009,"7902,1",,
11010,"7902,1","7901,2",
11011,"7902,1","7901,2",
11012,"7903,1","7902,2","7905,2"
11013,"7903,1","7901,2",
11014,"7903,1","7902,2","7905,2"
11015,"7904,1","7901,2",
11016,"7904,1","7902,2","7905,2"
11017,"7905,1","7902,2","7905,2"
11018,"7905,1","7904,2","7906,5"
11019,"7906,1","7902,2","7905,2"
11020,"7906,1","7904,2","7906,5"
11021,"7903,1#7904,1","7902,2","7905,2"
11022,"7903,1#7904,1","7904,2","7906,5"
11023,"7904,2","7904,2","7906,5"
11024,"7904,2","7904,2#7906,2","7905,18"
11025,"7904,1#7905,1","7904,2","7906,5"
11026,"7904,1#7905,1","7904,2#7906,2","7905,18"
11027,"7904,1#7906,1","7904,2","7906,5"
11028,"7904,1#7906,1","7904,2#7906,2","7905,18"
11029,"7905,1#7906,1","7904,2","7906,5"
11030,"7905,1#7906,1","7904,2#7906,2","7905,18"
11031,"7906,2","7904,2","7906,5"
11032,"7906,2","7904,2#7906,2","7905,18"
11033,"7904,2#7903,1","7904,2","7906,5"
11034,"7904,2#7903,1","7904,2#7906,2","7905,18"
11035,"7904,3#7902,1","7904,2","7906,5"
11036,"7904,3#7902,1","7904,2#7906,2","7905,18"
12000,"7901,1",,
12001,"7901,1",,
12002,"7901,1",,
12003,"7901,1",,
12004,"7901,1",,
12005,"7901,1",,
12006,"7901,1","7901,2",
12007,"7901,1",,
12008,"7902,1","7901,2",
12009,"7902,1",,
12010,"7902,1","7901,2",
12011,"7902,1","7901,2",
12012,"7903,1","7902,2","7905,2"
12013,"7903,1","7901,2",
12014,"7903,1","7902,2","7905,2"
12015,"7904,1","7901,2",
12016,"7904,1","7902,2","7905,2"
12017,"7905,1","7902,2","7905,2"
12018,"7905,1","7904,2","7906,5"
12019,"7906,1","7902,2","7905,2"
12020,"7906,1","7904,2","7906,5"
12021,"7903,1#7904,1","7902,2","7905,2"
12022,"7903,1#7904,1","7904,2","7906,5"
12023,"7904,2","7904,2","7906,5"
12024,"7904,2","7904,2#7906,2","7905,18"
12025,"7904,1#7905,1","7904,2","7906,5"
12026,"7904,1#7905,1","7904,2#7906,2","7905,18"
12027,"7904,1#7906,1","7904,2","7906,5"
12028,"7904,1#7906,1","7904,2#7906,2","7905,18"
12029,"7905,1#7906,1","7904,2","7906,5"
12030,"7905,1#7906,1","7904,2#7906,2","7905,18"
12031,"7906,2","7904,2","7906,5"
12032,"7906,2","7904,2#7906,2","7905,18"
12033,"7904,2#7903,1","7904,2","7906,5"
12034,"7904,2#7903,1","7904,2#7906,2","7905,18"
12035,"7904,3#7902,1","7904,2","7906,5"
12036,"7904,3#7902,1","7904,2#7906,2","7905,18"
13000,"7901,1",,
13001,"7901,1",,
13002,"7901,1",,
13003,"7901,1",,
13004,"7901,1",,
13005,"7901,1",,
13006,"7901,1","7901,2",
13007,"7901,1",,
13008,"7902,1","7901,2",
13009,"7902,1",,
13010,"7902,1","7901,2",
13011,"7902,1","7901,2",
13012,"7903,1","7902,2","7905,2"
13013,"7903,1","7901,2",
13014,"7903,1","7902,2","7905,2"
13015,"7904,1","7901,2",
13016,"7904,1","7902,2","7905,2"
13017,"7905,1","7902,2","7905,2"
13018,"7905,1","7904,2","7906,5"
13019,"7906,1","7902,2","7905,2"
13020,"7906,1","7904,2","7906,5"
13021,"7903,1#7904,1","7902,2","7905,2"
13022,"7903,1#7904,1","7904,2","7906,5"
13023,"7904,2","7904,2","7906,5"
13024,"7904,2","7904,2#7906,2","7905,18"
13025,"7904,1#7905,1","7904,2","7906,5"
13026,"7904,1#7905,1","7904,2#7906,2","7905,18"
13027,"7904,1#7906,1","7904,2","7906,5"
13028,"7904,1#7906,1","7904,2#7906,2","7905,18"
13029,"7905,1#7906,1","7904,2","7906,5"
13030,"7905,1#7906,1","7904,2#7906,2","7905,18"
13031,"7906,2","7904,2","7906,5"
13032,"7906,2","7904,2#7906,2","7905,18"
13033,"7904,2#7903,1","7904,2","7906,5"
13034,"7904,2#7903,1","7904,2#7906,2","7905,18"
13035,"7904,3#7902,1","7904,2","7906,5"
13036,"7904,3#7902,1","7904,2#7906,2","7905,18"
14000,"7901,1",,
14001,"7901,1",,
14002,"7901,1",,
14003,"7901,1",,
14004,"7901,1",,
14005,"7901,1",,
14006,"7901,1","7901,2",
14007,"7901,1",,
14008,"7902,1","7901,2",
14009,"7902,1",,
14010,"7902,1","7901,2",
14011,"7902,1","7901,2",
14012,"7903,1","7902,2","7905,2"
14013,"7903,1","7901,2",
14014,"7903,1","7902,2","7905,2"
14015,"7904,1","7901,2",
14016,"7904,1","7902,2","7905,2"
14017,"7905,1","7902,2","7905,2"
14018,"7905,1","7904,2","7906,5"
14019,"7906,1","7902,2","7905,2"
14020,"7906,1","7904,2","7906,5"
14021,"7903,1#7904,1","7902,2","7905,2"
14022,"7903,1#7904,1","7904,2","7906,5"
14023,"7904,2","7904,2","7906,5"
14024,"7904,2","7904,2#7906,2","7905,18"
14025,"7904,1#7905,1","7904,2","7906,5"
14026,"7904,1#7905,1","7904,2#7906,2","7905,18"
14027,"7904,1#7906,1","7904,2","7906,5"
14028,"7904,1#7906,1","7904,2#7906,2","7905,18"
14029,"7905,1#7906,1","7904,2","7906,5"
14030,"7905,1#7906,1","7904,2#7906,2","7905,18"
14031,"7906,2","7904,2","7906,5"
14032,"7906,2","7904,2#7906,2","7905,18"
14033,"7904,2#7903,1","7904,2","7906,5"
14034,"7904,2#7903,1","7904,2#7906,2","7905,18"
14035,"7904,3#7902,1","7904,2","7906,5"
14036,"7904,3#7902,1","7904,2#7906,2","7905,18"
15000,"7901,1",,
15001,"7901,1",,
15002,"7901,1",,
15003,"7901,1",,
15004,"7901,1",,
15005,"7901,1",,
15006,"7901,1","7901,2",
15007,"7901,1",,
15008,"7902,1","7901,2",
15009,"7902,1",,
15010,"7902,1","7901,2",
15011,"7902,1","7901,2",
15012,"7903,1","7902,2","7905,2"
15013,"7903,1","7901,2",
15014,"7903,1","7902,2","7905,2"
15015,"7904,1","7901,2",
15016,"7904,1","7902,2","7905,2"
15017,"7905,1","7902,2","7905,2"
15018,"7905,1","7904,2","7906,5"
15019,"7906,1","7902,2","7905,2"
15020,"7906,1","7904,2","7906,5"
15021,"7903,1#7904,1","7902,2","7905,2"
15022,"7903,1#7904,1","7904,2","7906,5"
15023,"7904,2","7904,2","7906,5"
15024,"7904,2","7904,2#7906,2","7905,18"
15025,"7904,1#7905,1","7904,2","7906,5"
15026,"7904,1#7905,1","7904,2#7906,2","7905,18"
15027,"7904,1#7906,1","7904,2","7906,5"
15028,"7904,1#7906,1","7904,2#7906,2","7905,18"
15029,"7905,1#7906,1","7904,2","7906,5"
15030,"7905,1#7906,1","7904,2#7906,2","7905,18"
15031,"7906,2","7904,2","7906,5"
15032,"7906,2","7904,2#7906,2","7905,18"
15033,"7904,2#7903,1","7904,2","7906,5"
15034,"7904,2#7903,1","7904,2#7906,2","7905,18"
15035,"7904,3#7902,1","7904,2","7906,5"
15036,"7904,3#7902,1","7904,2#7906,2","7905,18"
16000,"7901,1",,
16001,"7901,1",,
16002,"7901,1",,
16003,"7901,1",,
16004,"7901,1",,
16005,"7901,1",,
16006,"7901,1","7901,2",
16007,"7901,1",,
16008,"7902,1","7901,2",
16009,"7902,1",,
16010,"7902,1","7901,2",
16011,"7902,1","7901,2",
16012,"7903,1","7902,2","7905,2"
16013,"7903,1","7901,2",
16014,"7903,1","7902,2","7905,2"
16015,"7904,1","7901,2",
16016,"7904,1","7902,2","7905,2"
16017,"7905,1","7902,2","7905,2"
16018,"7905,1","7904,2","7906,5"
16019,"7906,1","7902,2","7905,2"
16020,"7906,1","7904,2","7906,5"
16021,"7903,1#7904,1","7902,2","7905,2"
16022,"7903,1#7904,1","7904,2","7906,5"
16023,"7904,2","7904,2","7906,5"
16024,"7904,2","7904,2#7906,2","7905,18"
16025,"7904,1#7905,1","7904,2","7906,5"
16026,"7904,1#7905,1","7904,2#7906,2","7905,18"
16027,"7904,1#7906,1","7904,2","7906,5"
16028,"7904,1#7906,1","7904,2#7906,2","7905,18"
16029,"7905,1#7906,1","7904,2","7906,5"
16030,"7905,1#7906,1","7904,2#7906,2","7905,18"
16031,"7906,2","7904,2","7906,5"
16032,"7906,2","7904,2#7906,2","7905,18"
16033,"7904,2#7903,1","7904,2","7906,5"
16034,"7904,2#7903,1","7904,2#7906,2","7905,18"
16035,"7904,3#7902,1","7904,2","7906,5"
16036,"7904,3#7902,1","7904,2#7906,2","7905,18"
