id,name,icon,quality,type,showType,amountlimit,property,price,needLevel,needStamina,needColdTime,des,functionDes,favor,pid,archaeusExp,fragment
82000,乌玛星,2000,1,24,24,1,3,1000,1,0,0,,,0,12000,,
82001,孙悟空,2001,1,24,24,1,3,1000,1,0,0,,,0,12003,,
82002,乌龙,2002,1,24,24,1,3,1000,1,0,0,,,0,12004,,
82003,乐平,2003,1,24,24,1,3,1000,1,0,0,,,0,12005,,
82004,普尔,2004,1,24,24,1,3,1000,1,0,0,,,0,12006,,
82005,琪琪,2005,1,24,24,1,3,1000,1,0,0,,,0,12007,,
82006,牛魔王,2006,1,24,24,1,3,1000,1,0,0,,,0,12008,,
82007,兔人参,2007,1,24,24,1,3,1000,1,0,0,,,0,12009,,
82008,常胜,2008,1,24,24,1,3,1000,1,0,0,,,0,12010,,
82009,索巴,2009,1,24,24,1,3,1000,1,0,0,,,0,12011,,
82010,皮拉夫,2010,1,24,24,1,3,1000,1,0,0,,,0,12012,,
82011,小林,2011,1,24,24,1,3,1000,1,0,0,,,0,12014,,
82012,兰琪,2012,1,24,24,1,3,1000,1,0,0,,,0,12013,,
82013,蓝将军,2013,1,24,24,1,3,1000,1,0,0,,,0,12015,,
82014,阿拉蕾,2014,1,24,24,1,3,1000,1,0,0,,,0,12016,,
82015,壮汉,2015,1,24,24,1,3,1000,1,0,0,,,0,12017,,
82016,大师兄,2016,1,24,24,1,3,1000,1,0,0,,,0,12018,,
82017,二师兄,2017,1,24,24,1,3,1000,1,0,0,,,0,12019,,
82018,拳法家,2018,1,24,24,1,3,1000,1,0,0,,,0,12020,,
82019,熊男,2019,1,24,24,1,3,1000,1,0,0,,,0,12021,,
82020,巴克特里安,2020,1,24,24,1,3,1000,1,0,0,,,0,12022,,
82021,那木,2021,1,24,24,1,3,1000,1,0,0,,,0,12023,,
82022,基朗,2022,1,24,24,1,3,1000,1,0,0,,,0,12024,,
82023,兰芳,2023,1,24,24,1,3,1000,1,0,0,,,0,12025,,
82029,银大佐,2024,2,24,24,1,3,1000,1,0,0,,,0,12026,,
82030,铁军曹,2025,2,24,24,1,3,1000,1,0,0,,,0,12027,,
82031,紫曹长,2026,2,24,24,1,3,1000,1,0,0,,,0,12028,,
82032,人造人8号,2027,2,24,24,1,3,1000,1,0,0,,,0,12029,,
82033,布幽,2028,2,24,24,1,3,1000,1,0,0,,,0,12030,,
82034,白将军,2029,1,24,24,1,3,1000,1,0,0,,,0,12031,,
82035,波拉,2030,1,24,24,1,3,1000,1,0,0,,,0,12032,,
82036,桃白白,2031,1,24,24,1,3,1000,1,0,0,,,0,12033,,
82037,加林仙人,2032,1,24,24,1,3,1000,1,0,0,,,0,12034,,
82043,蝙蝠人,2033,1,24,24,1,3,1000,1,0,0,,,0,12035,,
82044,透明人,2034,1,24,24,1,3,1000,1,0,0,,,0,12036,,
82045,木乃伊,2035,1,24,24,1,3,1000,1,0,0,,,0,12037,,
82046,地狱使者,2036,1,24,24,1,3,1000,1,0,0,,,0,12038,,
82047,孙悟饭,2037,1,24,24,1,3,1000,1,0,0,,,0,12039,,
82048,莫西干男,3,3,24,24,1,3,1000,1,0,0,,,0,2048,,
82049,柴巴王,3,3,24,24,1,3,1000,1,0,0,,,0,2049,,
82050,潘普特,3,3,24,24,1,3,1000,1,0,0,,,0,2050,,
82051,男狼,3,3,24,24,1,3,1000,1,0,0,,,0,2051,,
82052,天津饭,3,3,24,24,1,3,1000,1,0,0,,,0,2052,,
82053,饺子,3,1,24,24,1,3,1000,1,0,0,,,0,2053,,
82054,铃鼓,3,1,24,24,1,3,1000,1,0,0,,,0,2054,,
82055,铜钹,3,1,24,24,1,3,1000,1,0,0,,,0,2055,,
82056,大鼓,3,1,24,24,1,3,1000,1,0,0,,,0,2056,,
82057,钢琴,3,1,24,24,1,3,1000,1,0,0,,,0,2057,,
82058,弥次郎兵卫,3,1,24,24,1,3,1000,1,0,0,,,0,2058,,
82059,短笛,3,1,24,24,1,3,1000,1,0,0,,,0,2059,,
82061,波波,3,1,24,24,1,3,1000,1,0,0,,,0,2061,,
82062,天神,3,1,24,24,1,3,1000,1,0,0,,,0,2062,,
82070,沈先生,3,1,24,24,1,3,1000,1,0,0,,,0,2070,,
82071,机械桃白白,3,1,24,24,1,3,1000,1,0,0,,,0,2071,,
80001,1星进阶卡,3,1,23,23,100,3,1000,1,0,0,,,0,0,,
80002,2星进阶卡,3,2,23,23,100,3,1000,1,0,0,,,0,0,,
80003,3星进阶卡,3,3,23,23,100,3,1000,1,0,0,,,0,0,,
80004,4星进阶卡,3,3,23,23,100,3,1000,1,0,0,,,0,0,,
80005,5星进阶卡,3,4,23,23,100,3,1000,1,0,0,,,0,0,,
80006,6星进阶卡,3,4,23,23,100,3,1000,1,0,0,,,0,0,,
80007,7星进阶卡,3,5,23,23,100,3,1000,1,0,0,,,0,0,,
81001,1星变身卡,3,1,23,23,100,3,1000,1,0,0,,,0,0,,
81002,2星变身卡,3,2,23,23,100,3,1000,1,0,0,,,0,0,,
81003,3星变身卡,3,3,23,23,100,3,1000,1,0,0,,,0,0,,
81004,4星变身卡,3,3,23,23,100,3,1000,1,0,0,,,0,0,,
81005,5星变身卡,3,4,23,23,100,3,1000,1,0,0,,,0,0,,
81006,6星变身卡,3,4,23,23,100,3,1000,1,0,0,,,0,0,,
81007,7星变身卡,3,5,23,23,100,3,1000,1,0,0,,,0,0,,
9002,特殊胶囊,4,4,11,11,1,3,1222,1,0,0,家园生产室制造时的附带产物，家园生产暴击时必定获得。开启特殊胶囊可以获得道具奖励。,,0,0,,
1001,钱,4,2,21,21,100,3,1222,1,0,0,增加索尼,索尼+1000,0,0,,
2001,点卷,4,2,20,20,100,3,1222,1,0,0,金币,金币+100,0,0,,
3001,阅历,4,2,19,19,100,3,1222,1,0,0,阅历宝典,阅历+100,0,0,,
4001,声望,4,2,18,18,100,3,1222,1,0,0,声望宝典,声望+100,0,0,,
5001,体力,4,2,17,17,100,3,1222,1,0,0,体力宝典,体力+1,0,0,,
6001,激活伙伴,4,2,16,16,100,3,1222,1,0,0,,,0,0,,
8001,经验值,4,2,12,12,100,3,1222,1,0,0,经验宝典,经验值+1000,0,0,,
9001,宝箱,4,4,11,11,1,3,1222,1,0,0,装满物品的宝箱,开启获得道具,0,0,,
9101,碎片,4,3,10,10,100,3,1222,1,0,0,神秘的碎片,5个碎片合成1个宝箱,0,0,,5*2*9001
31012,暴烈大锤碎片,11012,4,10,10,3,9,5000,1,0,0,3个暴烈大锤碎片可以合成1个暴烈大锤(lv.40)，集齐碎片后双击即可合成,,0,0,,3*1*11012
31014,烈焰短枪碎片,11014,4,10,10,3,9,5000,1,0,0,3个烈焰短枪碎片可以合成1个烈焰短枪(lv.45)，集齐碎片后双击即可合成,,0,0,,3*1*11014
31016,地狱之刃碎片,11016,4,10,10,3,9,5000,1,0,0,3个地狱之刃碎片可以合成1个地狱之刃(lv.50)，集齐碎片后双击即可合成,,0,0,,3*1*11016
31017,狩猎者长枪碎片,11017,4,10,10,3,9,5000,1,0,0,3个狩猎者长枪碎片可以合成1个狩猎者长枪(lv.55)，集齐碎片后双击即可合成,,0,0,,3*1*11017
