key,des
net_error,您已掉线，请刷新重新连接！
error_alert,错误提示
l_definite,确定
l_cancel,取消
l_close,关闭
l_save,保存
l_used,使用
l_agree,同意
l_refuse,拒绝
l_buy,购买
l_max,最大
l_help,帮助
l_activating,激活
l_growing,资质
l_skill,技能
l_property,属性
l_pour,注入
l_sell,卖出
l_levelUp_need_exp,升级所需经验:
l_leave_team,离队
l_partner_list,伙伴列表
l_partner_info,伙伴信息
l_need_expend_label,所需消耗:
l_need_renown_label,声望达到:
l_need_money_label,消耗索尼:
l_show,显示
l_online,在线
l_offline,离线
l_offline_time,离线${0}天以上
l_level_label,Lv.${0}
l_gold_label,${0}金币
l_money_label,${0}索尼
l_hour,${0}小时
l_unit_ten_thousand,${0}万
l_vigor_exp,${0}元气经验
l_day,离线不足1天
l_mail,邮件
l_dragonBall,龙珠
l_prepaid,充值
l_spree,礼包
l_money_label,${0}索尼
l_fightingPower,战斗力
l_level_lacking,需要等级${0}以上
l_money_lacking,需要索尼${0}以上
l_experience,经验
l_mobility,行动力:
l_hpLabel,生命:
l_expLabel,经验:
l_uplevelLabel,升级:
l_uplevel,升级
l_research,研发
l_expandPartner,扩展位置
l_shortcutEquip,一键换装
l_openUp,展示
l_goodwillValue,好感度
l_initiativeSkill,主动技能
l_passiveSkill,被动技能
l_studySkill,学习技能
l_equipSkill,装备技能
l_generalSkill,普通技能
l_specialSkill,怒气技能
l_popularity,声望
l_strLabel,力量:
l_spiLabel,精神:
l_agiLabel,敏捷:
l_phyLabel,体魄:
l_regainLabel,恢复:
l_buffLabel,增益:
l_debuffLabel,减益:
l_coercionLabel,控制:
l_strGrowingLabel,力量资质:
l_spiGrowingLabel,精神资质:
l_agiGrowingLabel,敏捷资质:
l_phyGrowingLabel,体魄资质:
l_regainGrowingLabel,恢复资质:
l_buffGrowingLabel,增益资质:
l_debuffGrowingLabel,减益资质:
l_coercionGrowingLabel,控制资质:
l_physicalAttack,物攻:
l_physicalDefense,物防:
l_magicAttack,魔攻:
l_magicDefense,魔防:
l_knowingLabel,会心:
l_blockLabel,格挡:
l_tenacityLabel,韧性:
l_penetrateLabel,识破:
l_employ,招募
l_money,索尼:
l_sense,阅历:
l_gold,金币:
l_quality,品质
l_tempPageDes,临时背包物品到期后会自动丢弃，请及时领取。
l_sort,整理
l_liliangzizhi,力量资质
l_jingshenzizhi,精神资质
l_minjiezizhi,敏捷资质
l_tipozizhi,体魄资质
l_liliang,力量
l_jinsheng,精神
l_minjie,敏捷
l_tipo,体魄
l_shengming,生命
l_huixin,会心
l_gedang,格挡
l_renxing,韧性
l_shipo,识破
l_wuligongji,物理攻击
l_nenglianggongji,能量攻击
l_wulifangyu,物理防御
l_nengliangfangyu,能量防御
l_huixinlv,会心率
l_gedanglv,格挡率
l_renxinglv,韧性率
l_shipolv,识破率
l_baifenwuligongji,百分比物理攻击
l_baifenbinenglianggongji,百分比能量攻击
l_baifenbiwulifangyu,百分比物理防御
l_baifenbinengliangfangyu,百分比能量防御
l_zhenshishanghai,真实伤害值
l_zhenshishanghaibaifenbi,真实伤害百分比
l_jueduijianshangzhi,绝对减伤值
l_jueduijianshangbaifenbi,绝对减伤百分比
l_add,增加
l_feduce,减少
l_used_props,使      用
l_equip_props,装      备
l_unequip_props,脱      下
l_show_props,展      示
l_collect_props,拾      取
l_sell_props,卖      出
