id,绫诲瀷,浼氳皥濂栧姳,鍥炬爣,鍐呭,浼欎即鏄剧ず鍚嶅瓧
id,type,reward,icon,talk,name
1,1,10636,6,…,索尼 10636
2,1,22981,6,…,索尼 22981
3,1,35326,6,…,索尼 35326
4,1,47671,6,…,索尼 47671
5,1,60016,6,…,索尼 60016
6,2,2,6,…,金币 2
7,2,3,6,…,金币 3
8,2,6,6,…,金币 6
9,2,9,6,…,金币 9
10,3,5,6,…,声望 5
11,3,10,6,…,声望 10
12,3,15,6,…,声望 15
13,3,20,6,…,声望 20
14,3,25,6,…,声望 25
15,3,30,6,…,声望 30
16,4,6807,6,…,阅历 6807
17,4,10263,6,…,阅历 10263
18,4,13719,6,…,阅历 13719
19,4,17175,6,…,阅历 17175
20,4,20631,6,…,阅历 20631
21,6,7905,7905,…,乌龙收藏的内裤
22,6,7906,7906,…,加林仙人的神水
23,6,80001,80001,…,1星进阶卡
24,6,80002,80002,…,2星进阶卡
25,6,80003,80003,…,3星进阶卡
26,6,80004,80004,…,4星进阶卡
27,6,80005,80005,…,5星进阶卡
28,6,81002,81002,…,2星变身卡
29,6,81003,81003,…,3星变身卡
30,6,81004,81004,…,4星变身卡
31,6,81005,81005,…,5星变身卡
32,6,82006,82006,…,牛魔王伙伴卡
33,6,82007,82007,…,兔人参伙伴卡
34,6,82013,82013,…,蓝将军伙伴卡
35,6,82014,82014,…,阿拉蕾伙伴卡
