id,name,resId,job,star,level,hp,powerLevel,physiqueQuality,flexLevel,spiritLevel,skills,figure,microfigure,bigImage,microImage
9876,竞技场守卫,1037,2,2,21,880,20000,20000,20000,20000,12074#13074,stzt.swf,FL_stzt.swf,FB1037.png,FS1037.png
9875,资源矿守卫,1037,2,2,21,880,20000,20000,20000,20000,12074#13074,stzt.swf,FL_stzt.swf,FB1037.png,FS1037.png
9001,特兰克斯,1005,1,5,100,240000,29800,21600,19900,19200,9201#9301,tlks.swf,FL_tlks.swf,FB1005.png,FS1005.png
9002,孙悟空,1138,2,5,100,290000,29800,19900,21600,19200,9202#9302,xzswk.swf,FL_xzswk.swf,FB1138.png,FS1138.png
9003,孙悟饭,1139,2,5,100,160000,29800,19900,21600,19200,9203#9303,xzswf.swf,FL_xzswf.swf,FB1139.png,FS1139.png
9004,短笛,1140,2,5,100,160000,29800,19900,21600,19200,9204#9304,xzdddmw.swf,FL_xzdddmw.swf,FB1140.png,FS1140.png
9005,乌玛星,1182,4,2,5,2014,12400,15700,18600,14100,9205#9305,wmx.swf,FL_wmx.swf,FB1182.png,FS1182.png
9006,人造人队长,1007,2,1,6,163,15100,11500,15100,11500,12011#13011,rzrjydz.swf,FL_rzrjydz.swf,FB1007.png,FS1007.png
9007,人造人士兵,1004,2,1,5,154,15100,11500,15100,11500,12007#13007,rzrjy2.swf,FL_rzrjy2.swf,FB1004.png,FS1004.png
8001,布罗利,2001,2,7,150,12466600,34300,22200,24200,21300,8201#8301,boss1.swf,FL_boss1.swf,FB2001.png,FS2001.png
8002,布罗利,2002,2,7,155,20202300,34300,22200,24200,21300,8201#8301,boss2.swf,FL_boss2.swf,FB2002.png,FS2002.png
8003,布罗利,2003,2,7,160,29109600,34300,22200,24200,21300,8201#8301,boss3.swf,FL_boss3.swf,FB2003.png,FS2003.png
8004,布罗利,2004,2,7,160,40018200,34300,22200,24200,21300,8201#8301,boss4.swf,FL_boss4.swf,FB2004.png,FS2004.png
