id,needLv,needStar,costMoney,costGold,attack,fightDef,qigongDef,psycheDef,
0,0,1,0,0,0,0,0,0,0
1,1,1,160,1,12,7,7,7,64
2,2,1,300,1,14,8,8,8,74
3,3,1,482,1,17,10,10,10,87
4,4,1,678,1,20,12,12,12,101
5,5,1,916,1,23,14,14,14,118
6,6,1,1196,1,27,16,16,16,138
7,7,1,1518,1,32,19,19,19,161
8,8,1,1896,1,37,22,22,22,188
9,9,1,2344,1,44,26,26,26,220
10,10,1,2848,1,51,30,30,30,256
11,11,1,3212,1,56,33,33,33,282
12,12,1,3618,1,62,37,37,37,311
13,13,1,4052,1,68,41,41,41,342
14,14,1,4542,1,75,45,45,45,377
15,15,1,5074,1,83,49,49,49,415
16,16,2,6082,1,91,54,54,54,457
17,17,2,7186,1,100,60,60,60,503
18,18,2,8410,1,110,66,66,66,554
19,19,2,9754,1,122,73,73,73,610
20,20,2,11242,1,134,80,80,80,672
21,21,2,12394,1,144,86,86,86,720
22,22,2,13642,2,154,92,92,92,772
23,23,2,14986,2,165,99,99,99,828
24,24,2,16426,2,177,106,106,106,888
25,25,2,17962,2,190,114,114,114,952
26,26,2,19594,2,204,122,122,122,1020
27,27,2,21370,2,218,131,131,131,1094
28,28,2,23242,2,234,140,140,140,1172
29,29,2,25282,3,251,150,150,150,1257
30,30,2,27442,3,269,161,161,161,1347
31,31,2,29242,3,284,170,170,170,1422
32,32,2,31138,3,300,180,180,180,1501
33,33,2,33130,3,316,190,190,190,1584
34,34,2,35242,3,334,200,200,200,1672
35,35,2,37450,3,352,211,211,211,1764
36,36,3,40782,4,372,223,223,223,1862
37,37,3,44284,4,393,235,235,235,1965
38,38,3,47990,4,414,248,248,248,2074
39,39,3,51900,5,437,262,262,262,2189
40,40,3,56048,5,462,277,277,277,2311
41,41,3,59584,5,483,289,289,289,2415
42,42,3,63290,6,504,302,302,302,2524
43,43,3,67166,6,527,316,316,316,2638
44,44,3,71246,6,551,330,330,330,2758
45,45,3,75462,7,576,345,345,345,2882
46,46,3,79916,7,602,361,361,361,3013
47,47,3,84540,7,629,377,377,377,3149
48,48,3,89368,8,658,394,394,394,3291
49,49,3,94434,8,688,412,412,412,3440
50,50,3,99704,8,719,431,431,431,3595
51,51,3,104396,9,746,447,447,447,3733
52,52,3,109224,9,775,465,465,465,3875
53,53,3,114256,10,804,482,482,482,4023
54,54,3,119492,10,835,501,501,501,4177
55,55,3,124932,10,867,520,520,520,4337
56,56,3,130542,11,900,540,540,540,4502
57,57,3,136390,11,934,560,560,560,4674
58,58,3,142476,12,970,582,582,582,4853
59,59,3,148766,12,1007,604,604,604,5038
60,60,3,155328,13,1046,627,627,627,5231
61,61,4,162984,14,1081,648,648,648,5405
62,62,4,170860,14,1116,670,670,670,5584
63,63,4,179000,15,1153,692,692,692,5769
64,64,4,187448,15,1192,715,715,715,5961
65,65,4,196160,16,1231,739,739,739,6159
66,66,4,205136,17,1272,763,763,763,6363
