id,角色等级,品质,物品奖励,经验奖励,索尼奖励,两倍奖励金币消耗,三倍奖励金币消耗
id,lv,quality,item,exp,money,stime,ttime
10001,30,1,20001*1,2503,45000,10,20
10002,30,2,20002*1,2503,90000,12,25
10003,30,3,20003*1,5006,135000,15,31
10004,30,4,20004*1,5006,180000,18,38
10005,30,5,20005*1,7509,225000,22,47
20001,40,1,20006*1,5840,80000,13,27
20002,40,2,20007*1,5840,160000,17,36
20003,40,3,20008*1,11679,240000,22,48
20004,40,4,20009*1,11679,320000,29,64
20005,40,5,20010*1,17519,400000,39,86
30001,50,1,20011*1,16667,125000,14,29
30002,50,2,20012*1,16667,250000,20,42
30003,50,3,20013*1,33334,375000,29,60
30004,50,4,20014*1,33334,500000,42,87
30005,50,5,20015*1,50001,625000,60,126
40001,60,1,20016*1,70502,180000,15,31
40002,60,2,20017*1,70502,360000,23,48
40003,60,3,20018*1,141004,540000,35,74
40004,60,4,20019*1,141004,720000,54,114
40005,60,5,20020*1,211506,900000,83,176
50001,70,1,20021*1,117579,245000,16,33
50002,70,2,20022*1,117579,490000,26,51
50003,70,3,20023*1,235158,735000,42,79
50004,70,4,20024*1,235158,980000,69,122
50005,70,5,20025*1,352738,1225000,113,189
