id,name,type,des
1001,秩序,1,提升对敌人单体造成的伤害
1101,秩序,1,提升对敌人单体造成的伤害
1201,秩序,1,提升对敌人单体造成的伤害
1301,秩序,1,提升对敌人单体造成的伤害
1002,精准,2,技能改变为可以直接攻击后排单体敌人
1102,精准,2,技能改变为可以直接攻击后排单体敌人
1202,精准,2,技能改变为可以直接攻击后排单体敌人
1302,精准,2,技能改变为可以直接攻击后排单体敌人
1003,穿透,3,技能可以额外攻击目标同一直线的敌人
1103,穿透,3,技能可以额外攻击目标同一直线的敌人
1203,穿透,3,技能可以额外攻击目标同一直线的敌人
1303,穿透,3,技能可以额外攻击目标同一直线的敌人
1004,溅射,4,技能可以额外攻击目标横排所有敌人
1104,溅射,4,技能可以额外攻击目标横排所有敌人
1204,溅射,4,技能可以额外攻击目标横排所有敌人
1304,溅射,4,技能可以额外攻击目标横排所有敌人
1005,横扫,5,技能变为范围攻击，攻击敌人前排
1105,横扫,5,技能变为范围攻击，攻击敌人前排
1205,横扫,5,技能变为范围攻击，攻击敌人前排
1305,横扫,5,技能变为范围攻击，攻击敌人前排
1006,奇袭,6,技能变为范围攻击，攻击敌人后排
1106,奇袭,6,技能变为范围攻击，攻击敌人后排
1206,奇袭,6,技能变为范围攻击，攻击敌人后排
1306,奇袭,6,技能变为范围攻击，攻击敌人后排
1007,无界,7,技能变为范围攻击，攻击敌人全体
1107,无界,7,技能变为范围攻击，攻击敌人全体
1207,无界,7,技能变为范围攻击，攻击敌人全体
1307,无界,7,技能变为范围攻击，攻击敌人全体
4001,秩序,1,提升对敌人单体造成的伤害
4101,秩序,1,提升对敌人单体造成的伤害
4201,秩序,1,提升对敌人单体造成的伤害
4301,秩序,1,提升对敌人单体造成的伤害
4002,精准,2,技能改变为可以直接攻击后排单体敌人
4102,精准,2,技能改变为可以直接攻击后排单体敌人
4202,精准,2,技能改变为可以直接攻击后排单体敌人
4302,精准,2,技能改变为可以直接攻击后排单体敌人
4003,穿透,3,技能可以额外攻击目标同一直线的敌人
4103,穿透,3,技能可以额外攻击目标同一直线的敌人
4203,穿透,3,技能可以额外攻击目标同一直线的敌人
4303,穿透,3,技能可以额外攻击目标同一直线的敌人
4004,溅射,4,技能可以额外攻击目标横排所有敌人
4104,溅射,4,技能可以额外攻击目标横排所有敌人
4204,溅射,4,技能可以额外攻击目标横排所有敌人
4304,溅射,4,技能可以额外攻击目标横排所有敌人
4005,横扫,5,技能变为范围攻击，攻击敌人前排
4105,横扫,5,技能变为范围攻击，攻击敌人前排
4205,横扫,5,技能变为范围攻击，攻击敌人前排
4305,横扫,5,技能变为范围攻击，攻击敌人前排
4006,奇袭,6,技能变为范围攻击，攻击敌人后排
4106,奇袭,6,技能变为范围攻击，攻击敌人后排
4206,奇袭,6,技能变为范围攻击，攻击敌人后排
4306,奇袭,6,技能变为范围攻击，攻击敌人后排
4007,无界,7,技能变为范围攻击，攻击敌人全体
4107,无界,7,技能变为范围攻击，攻击敌人全体
4207,无界,7,技能变为范围攻击，攻击敌人全体
4307,无界,7,技能变为范围攻击，攻击敌人全体
