ID,Name,DisplayName,Quality,Type,AttackType,apperence,url,des
1000,主1普默认,隔空斩,5,1,1,"1,1",skm1000,隔空斩杀的绝技，对敌人单体造成伤害
1001,主1普单体,隔空斩[秩序],5,1,1,"1,1",sk128,隔空斩杀的绝技，对敌人单体造成大量伤害
1002,主1普后排,隔空斩[精准],5,1,1,"1,1",sk128,隔空斩杀的绝技，对敌人后排单体造成伤害
1003,主1普直线,隔空斩[穿透],5,1,1,"1,1",sk128,隔空斩杀的绝技，对敌人直线造成伤害
1004,主1普竖排,隔空斩[溅射],5,1,1,"1,1",sk128,隔空斩杀的绝技，对敌人横排造成伤害
1005,主1普前排,隔空斩[横扫],5,1,1,"1,1",sk128,隔空斩杀的绝技，对敌人前排造成伤害
1006,主1普后排,隔空斩[奇袭],5,1,1,"1,1",sk128,隔空斩杀的绝技，对敌人后排造成伤害
1007,主1普全体,隔空斩[无界],5,1,1,"1,1",sk128,隔空斩杀的绝技，对敌人全体造成伤害
4000,主1怒默认,霸剑·蓄力斩,5,2,1,"2,1",skm4000,霸气无比的剑招，积蓄巨大的力量释放的绝杀，对敌人单体造成伤害
4001,主1怒单体,霸剑·怒能斩,5,2,1,"2,1",skm4001,霸气无比的剑招，积蓄巨大的力量释放的绝杀，对敌人单体造成大量伤害
4002,主1怒后排,霸剑·夺命斩,5,2,1,"2,1",skm4002,霸气无比的剑招，积蓄巨大的力量释放的绝杀，对敌人后排单体造成伤害
4003,主1怒直线,霸剑·凌空斩,5,2,1,"2,1",skm4003,霸气无比的剑招，积蓄巨大的力量释放的绝杀，对敌人直线造成伤害
4004,主1怒竖排,霸剑·烈焰斩,5,2,1,"2,1",skm4004,霸气无比的剑招，积蓄巨大的力量释放的绝杀，对敌人横排造成伤害
4005,主1怒前排,霸剑·通天斩,5,2,1,"2,1",skm4005,霸气无比的剑招，积蓄巨大的力量释放的绝杀，对敌人前排造成伤害
4006,主1怒后排,霸剑·裂天斩,5,2,1,"2,1",skm4006,霸气无比的剑招，积蓄巨大的力量释放的绝杀，对敌人后排造成伤害
4007,主1怒全体,霸剑·横扫千军,5,2,1,"2,1",skm4007,霸气无比的剑招，积蓄巨大的力量释放的绝杀，对敌人全体造成伤害
1100,主2普默认,拔刀,5,1,1,"1,1",skm1100,轻盈的移动配合猝不及防的拔刀术，对敌人单体造成伤害
1101,主2普单体,拔刀[秩序],5,1,1,"1,1",sk128,轻盈的移动配合猝不及防的拔刀术，对敌人单体造成大量伤害
1102,主2普后排,拔刀[精准],5,1,1,"1,1",sk128,轻盈的移动配合猝不及防的拔刀术，对敌人后排单体造成伤害
1103,主2普直线,拔刀[穿透],5,1,1,"1,1",sk128,轻盈的移动配合猝不及防的拔刀术，对敌人直线造成伤害
1104,主2普竖排,拔刀[溅射],5,1,1,"1,1",sk128,轻盈的移动配合猝不及防的拔刀术，对敌人横排造成伤害
1105,主2普前排,拔刀[横扫],5,1,1,"1,1",sk128,轻盈的移动配合猝不及防的拔刀术，对敌人前排造成伤害
1106,主2普后排,拔刀[奇袭],5,1,1,"1,1",sk128,轻盈的移动配合猝不及防的拔刀术，对敌人后排造成伤害
1107,主2普全体,拔刀[无界],5,1,1,"1,1",sk128,轻盈的移动配合猝不及防的拔刀术，对敌人全体造成伤害
4100,主2怒默认,忍术·瞬步,5,2,1,"2,1",skm4100,绝伦的忍术，超高速的移动中释放的强力杀招，对敌人单体造成伤害
4101,主2怒单体,忍术·凌空,5,2,1,"2,1",skm4101,绝伦的忍术，超高速的移动中释放的强力杀招，对敌人单体造成大量伤害
4102,主2怒后排,忍术·背刺,5,2,1,"2,1",skm4102,绝伦的忍术，超高速的移动中释放的强力杀招，对敌人后排单体造成伤害
4103,主2怒直线,忍术·锋芒,5,2,1,"2,1",skm4103,绝伦的忍术，超高速的移动中释放的强力杀招，对敌人直线造成伤害
4104,主2怒竖排,忍术·铁翼,5,2,1,"2,1",skm4104,绝伦的忍术，超高速的移动中释放的强力杀招，对敌人横排造成伤害
4105,主2怒前排,忍术·幻影,5,2,1,"2,1",skm4105,绝伦的忍术，超高速的移动中释放的强力杀招，对敌人前排造成伤害
4106,主2怒后排,忍术·奇袭,5,2,1,"2,1",skm4106,绝伦的忍术，超高速的移动中释放的强力杀招，对敌人后排造成伤害
4107,主2怒全体,忍术·排山倒海,5,2,1,"2,1",skm4107,绝伦的忍术，超高速的移动中释放的强力杀招，对敌人全体造成伤害
1200,主3普默认,气劲,5,1,2,"1,1",skm1200,掌心迸发的元气气劲，对敌人单体造成伤害
1201,主3普单体,气劲[秩序],5,1,2,"1,1",sk128,掌心迸发的元气气劲，对敌人单体造成大量伤害
1202,主3普后排,气劲[精准],5,1,2,"1,1",sk128,掌心迸发的元气气劲，对敌人后排单体造成伤害
1203,主3普直线,气劲[穿透],5,1,2,"1,1",sk128,掌心迸发的元气气劲，对敌人直线造成伤害
1204,主3普竖排,气劲[溅射],5,1,2,"1,1",sk128,掌心迸发的元气气劲，对敌人横排造成伤害
1205,主3普前排,气劲[横扫],5,1,2,"1,1",sk128,掌心迸发的元气气劲，对敌人前排造成伤害
1206,主3普后排,气劲[奇袭],5,1,2,"1,1",sk128,掌心迸发的元气气劲，对敌人后排造成伤害
1207,主3普全体,气劲[无界],5,1,2,"1,1",sk128,掌心迸发的元气气劲，对敌人全体造成伤害
4200,主3怒默认,气功·能量冲击,5,2,2,"2,1",skm4200,气功修炼的绝顶，强力的元气爆发绝杀，对敌人单体造成伤害
4201,主3怒单体,气功·蓄能冲击,5,2,2,"2,1",skm4201,气功修炼的绝顶，强力的元气爆发绝杀，对敌人单体造成大量伤害
4202,主3怒后排,气功·定位爆破,5,2,2,"2,1",skm4202,气功修炼的绝顶，强力的元气爆发绝杀，对敌人后排单体造成伤害
4203,主3怒直线,气功·聚能穿透,5,2,2,"2,1",skm4203,气功修炼的绝顶，强力的元气爆发绝杀，对敌人直线造成伤害
4204,主3怒竖排,气功·能量蔓延,5,2,2,"2,1",skm4204,气功修炼的绝顶，强力的元气爆发绝杀，对敌人横排造成伤害
4205,主3怒前排,气功·雷霆万钧,5,2,2,"2,1",skm4205,气功修炼的绝顶，强力的元气爆发绝杀，对敌人前排造成伤害
4206,主3怒后排,气功·爆烈天地,5,2,2,"2,1",skm4206,气功修炼的绝顶，强力的元气爆发绝杀，对敌人后排造成伤害
4207,主3怒全体,气功·吞噬苍穹,5,2,2,"2,1",skm4207,气功修炼的绝顶，强力的元气爆发绝杀，对敌人全体造成伤害
1300,主4普默认,引爆,5,1,2,"1,1",skm1300,引爆元素因子，对敌人单体造成伤害
1301,主4普单体,引爆[秩序],5,1,2,"1,1",sk128,引爆元素因子，对敌人单体造成大量伤害
1302,主4普后排,引爆[精准],5,1,2,"1,1",sk128,引爆元素因子，对敌人后排单体造成伤害
1303,主4普直线,引爆[穿透],5,1,2,"1,1",sk128,引爆元素因子，对敌人直线造成伤害
1304,主4普竖排,引爆[溅射],5,1,2,"1,1",sk128,引爆元素因子，对敌人横排造成伤害
1305,主4普前排,引爆[横扫],5,1,2,"1,1",sk128,引爆元素因子，对敌人前排造成伤害
1306,主4普后排,引爆[奇袭],5,1,2,"1,1",sk128,引爆元素因子，对敌人后排造成伤害
1307,主4普全体,引爆[无界],5,1,2,"1,1",sk128,引爆元素因子，对敌人全体造成伤害
4300,主4怒默认,元素操控·爆炸,5,2,2,"2,1",skm4300,操控元素的能量，产生惊天动地的攻击效果，对敌人单体造成伤害
4301,主4怒单体,元素操控·冲击,5,2,2,"2,1",skm4301,操控元素的能量，产生惊天动地的攻击效果，对敌人单体造成大量伤害
4302,主4怒后排,元素操控·追击,5,2,2,"2,1",skm4302,操控元素的能量，产生惊天动地的攻击效果，对敌人后排单体造成伤害
4303,主4怒直线,元素操控·虚空,5,2,2,"2,1",skm4303,操控元素的能量，产生惊天动地的攻击效果，对敌人直线造成伤害
4304,主4怒竖排,元素操控·力场,5,2,2,"2,1",skm4304,操控元素的能量，产生惊天动地的攻击效果，对敌人横排造成伤害
4305,主4怒前排,元素操控·巨浪,5,2,2,"2,1",skm4305,操控元素的能量，产生惊天动地的攻击效果，对敌人前排造成伤害
4306,主4怒后排,元素操控·乾坤,5,2,2,"2,1",skm4306,操控元素的能量，产生惊天动地的攻击效果，对敌人后排造成伤害
4307,主4怒全体,元素操控·毁灭,5,2,2,"2,1",skm4307,操控元素的能量，产生惊天动地的攻击效果，对敌人全体造成伤害
9201,特兰克斯（序）,能量弹,5,1,2,"1,1",sk001,特兰克斯将元气聚集成小型能量光球，对敌人单体造成伤害
9202,序章孙悟空,混元击,5,1,1,"1,1",sk001,孙悟空擅长的格斗技巧，配合元气操控的能力，对敌人单体造成连续伤害
9203,序章孙悟饭,浮空击,5,1,1,"1,1",sk001,配合浮空术使用的格斗技巧，灵活的对敌人单体造成伤害
9204,序章短笛大魔王,魔杀拳,5,1,1,"1,1",sk001,短笛领悟出的毫不留情的杀伐攻击，对敌人单体造成伤害
9301,特兰克斯（序）,超能斩,5,2,1,"2,1",sk001,令人眼花缭乱的斩击，同时释放出大量的元气，对敌人全体造成伤害
9302,序章孙悟空,元气弹,5,2,2,"2,1",sk001,聚集所有生物的元气，汇集成可以毁灭一切的元气弹，对敌人全体造成伤害
9303,序章孙悟饭,元气冲击波,5,2,2,"2,1",sk001,元气操控的初级阶段，释放的冲击波依然可以对敌人全体造成大量伤害
9304,序章短笛大魔王,魔贯光杀炮,5,2,2,"2,1",sk001,短笛自创的招式，可以贯穿一切的光线，对敌人直线造成伤害
9205,乌玛星,专注攻击,5,1,1,"1,1",skn1089,专注的进行攻击，对敌人单体造成伤害，攻击不增加敌人怒气
9305,乌玛星,无敌,5,2,3,"2,1",skn1100,强化身体，如壁垒一般坚硬，1回合内受到的伤害减少100%（最少受到1点伤害）
8201,布罗利,愤怒,5,1,1,"1,1",sk001,对敌人单体造成毁灭性伤害
9301,布罗利,毁灭,5,2,3,"2,1",sk001,对敌人全体造成毁灭性伤害
8888,贝吉塔,气功弹,5,1,2,"1,1",skn1004,操纵气功弹精准打击敌人，对敌人竖排造成恐怖的伤害
9999,贝吉塔,终极闪光,5,2,2,"2,1",skn1061,释放赛亚人的巨大能量，对敌人全体造成伤害
9001,生命强化Lv.1,生命强化Lv.1,5,4,1,"0,0",9001,副本内所有敌人增加生命10%
9002,生命强化Lv.2,生命强化Lv.2,5,4,1,"0,0",9001,副本内所有敌人增加生命20%
9003,生命强化Lv.3,生命强化Lv.3,5,4,1,"0,0",9001,副本内所有敌人增加生命30%
9004,生命强化Lv.4,生命强化Lv.4,5,4,1,"0,0",9001,副本内所有敌人增加生命40%
9005,生命强化Lv.5,生命强化Lv.5,5,4,1,"0,0",9001,副本内所有敌人增加生命50%
9006,攻击力强化Lv.1,攻击力强化Lv.1,5,4,1,"0,0",9002,副本内所有敌人增加攻击力5%
9007,攻击力强化Lv.2,攻击力强化Lv.2,5,4,1,"0,0",9002,副本内所有敌人增加攻击力10%
9008,攻击力强化Lv.3,攻击力强化Lv.3,5,4,1,"0,0",9002,副本内所有敌人增加攻击力15%
9009,攻击力强化Lv.4,攻击力强化Lv.4,5,4,1,"0,0",9002,副本内所有敌人增加攻击力20%
9010,攻击力强化Lv.5,攻击力强化Lv.5,5,4,1,"0,0",9002,副本内所有敌人增加攻击力25%
9011,格斗防御强化Lv.1,格斗防御强化Lv.1,5,4,1,"0,0",9005,副本内所有敌人增加格斗防御力10%
9012,格斗防御强化Lv.2,格斗防御强化Lv.2,5,4,1,"0,0",9005,副本内所有敌人增加格斗防御力20%
