当前技能配置文件ID,升级后配置文件ID,消耗的索尼,消耗的金币,成功率
cid,nid,costMoney,costGold,succee
19001,19002,250000,5,9000
19002,19003,500000,10,7000
19003,19004,1000000,20,5000
19004,19005,1500000,30,3500
19005,19006,2000000,40,2000
19006,19007,2500000,50,1000
19008,19009,250000,5,9000
19009,19010,500000,10,7000
19010,19011,1000000,20,5000
19011,19012,1500000,30,3500
19012,19013,2000000,40,2000
19013,19014,2500000,50,1000
19015,19016,250000,5,9000
19016,19017,500000,10,7000
19017,19018,1000000,20,5000
19018,19019,1500000,30,3500
19019,19020,2000000,40,2000
19020,19021,2500000,50,1000
19022,19023,250000,5,9000
19023,19024,500000,10,7000
19024,19025,1000000,20,5000
19025,19026,1500000,30,3500
19026,19027,2000000,40,2000
19027,19028,2500000,50,1000
19029,19030,250000,5,9000
19030,19031,500000,10,7000
19031,19032,1000000,20,5000
19032,19033,1500000,30,3500
19033,19034,2000000,40,2000
19034,19035,2500000,50,1000
19036,19037,250000,5,9000
19037,19038,500000,10,7000
19038,19039,1000000,20,5000
19039,19040,1500000,30,3500
19040,19041,2000000,40,2000
19041,19042,2500000,50,1000
19043,19044,250000,5,9000
19044,19045,500000,10,7000
19045,19046,1000000,20,5000
19046,19047,1500000,30,3500
19047,19048,2000000,40,2000
19048,19049,2500000,50,1000
19050,19051,250000,5,9000
19051,19052,500000,10,7000
19052,19053,1000000,20,5000
19053,19054,1500000,30,3500
19054,19055,2000000,40,2000
19055,19056,2500000,50,1000
19057,19058,250000,5,9000
19058,19059,500000,10,7000
19059,19060,1000000,20,5000
19060,19061,1500000,30,3500
19061,19062,2000000,40,2000
19062,19063,2500000,50,1000
19064,19065,250000,5,9000
19065,19066,500000,10,7000
19066,19067,1000000,20,5000
19067,19068,1500000,30,3500
19068,19069,2000000,40,2000
19069,19070,2500000,50,1000
19071,19072,250000,5,9000
19072,19073,500000,10,7000
19073,19074,1000000,20,5000
19074,19075,1500000,30,3500
19075,19076,2000000,40,2000
19076,19077,2500000,50,1000
19078,19079,250000,5,9000
19079,19080,500000,10,7000
19080,19081,1000000,20,5000
19081,19082,1500000,30,3500
19082,19083,2000000,40,2000
19083,19084,2500000,50,1000
19085,19086,250000,5,9000
19086,19087,500000,10,7000
19087,19088,1000000,20,5000
19088,19089,1500000,30,3500
19089,19090,2000000,40,2000
19090,19091,2500000,50,1000
