id,类型,值,奖励机率,需要解锁1
id,type,value,odds,lock
1,1,10000,81,0
2,1,20000,81,0
3,1,30000,54,0
4,1,50000,45,0
5,1,80000,27,0
6,1,100000,9,0
7,1,200000,3,0
8,2,2,81,0
9,2,4,81,0
10,2,7,54,0
11,2,10,45,0
12,2,15,27,0
13,2,20,9,0
14,2,30,3,0
15,3,5,81,0
16,3,10,81,0
17,3,15,54,0
18,3,25,45,0
19,3,40,27,0
20,3,50,9,0
21,3,100,3,0
22,4,4000,81,0
23,4,8000,81,0
24,4,12000,54,0
25,4,20000,45,0
26,4,26000,27,0
27,4,32000,9,0
28,4,64000,3,0
29,6,80000*1,45,0
30,6,80000*2,27,0
31,6,80000*3,9,0
32,6,80000*5,3,0
33,6,80000*8,2,0
34,7,81000*1,45,0
35,7,81000*2,27,0
36,7,81000*3,9,0
37,7,81000*4,3,0
38,8,80000*2#81000*1,18,0
39,8,80000*4#81000*2,6,0
40,8,80000*6#81000*3,2,0
12001,5,12001,255,1
12002,5,12002,2,1
12008,5,12008,9,1
12011,5,12011,45,1
12013,5,12013,27,1
12016,5,12016,3,1
12019,5,12019,54,1
12022,5,12022,54,1
12024,5,12024,54,1
12025,5,12025,27,1
12030,5,12030,45,1
12033,5,12033,9,1
12035,5,12035,45,1
12038,5,12038,45,1
12040,5,12040,45,1
12041,5,12041,45,1
12046,5,12046,45,1
12047,5,12047,45,1
12048,5,12048,45,1
12049,5,12049,45,1
12050,5,12050,9,1
12054,5,12054,45,1
12055,5,12055,45,1
