任务id,任务名,主线/支线,对话/打怪/掉落/寻物,等级限制,前置任务ID,后置任务ID,可完成次数,任务内容,任务目标,任务目标数量,任务简介,任务说明,说明脚本,接任务追踪,追踪脚本,未完成说明,追踪脚本,已完成追踪,追踪脚本,接任务NPC,还任务NPC,接任务脚本,还任务脚本,接任务对话,还任务对话,未完成对话,经验,阅历,索尼,物品,怪物组Id和掉落机率,guideDoing,guideDoingScript,guideComplete,guideCompleteScript,完成任务等级限制,章节,特殊任务类型枚举
id,name,type,taskType,needLv,preId,nextId,completeCount,content,targetId,targetCount,about,guide,guideScript,receiveTrack,receiveTrackScript,doingTrack,doingTrackScript,giveTrack,giveTrackScript,receiveNPC,giveNPC,receiveScript,completeScript,receiveTalkContent,giveTalkContent,doingTalkContent,exp,sence,money,item,monsterItem,guideDoing,guideDoingScript,guideComplete,guideCompleteScript,completeLv,chapter,specialTaskType
1,回到过去,1,1,1,0,2,1,与特兰克斯对话,0,1,与特兰克斯对话,与|特兰克斯^对话,clickNPC|NPC01@map1,去找|特兰克斯^领取任务,clickNPC|NPC01@map1,[主]回到过去<br/>与|特兰克斯^对话,clickNPC|NPC01@map1,[主]回到过去<br/>去找|特兰克斯^完成任务,clickNPC|NPC01@map1,NPC01@map1,NPC01@map1,clickNPC|NPC01@map1,clickNPC|NPC01@map1,,这里就是二十年前？空气中没有血腥味，很久没有这么畅快的呼吸了。|治好悟空先生的心脏病，我们就能拯救未来。^还任务|[完成]追来的人造人,,100,30,2000,2*5062*100,,与|特兰克斯^对话,clickNPC|NPC01@map1,去找|特兰克斯^领取任务,clickNPC|NPC01@map1,1,1,-1
2,莫名的危机,1,1,1,1,7001,1,与特兰克斯对话,0,1,与特兰克斯对话,与|特兰克斯^对话,clickNPC|NPC01@map1,去找|特兰克斯^领取任务,clickNPC|NPC01@map1,[主]莫名的隐患<br/>与|特兰克斯^对话,clickNPC|NPC01@map1,[主]莫名的隐患<br/>去找|特兰克斯^完成任务,clickNPC|NPC01@map1,NPC01@map1,NPC01@map1,showStory|序章剧情_clickNPC|NPC01@map1,"addTask(7001),activeFunction(1)",我始终感觉这次回来不会这么轻松，一定要小心。|明白。^接任务|[接受]莫名的危机,留意下四周，我担心人造人会追过来。|好的！^还任务|[完成]莫名的危机,,400,160,2200,0,,与|特兰克斯^对话,clickNPC|NPC01@map1,去找|特兰克斯^领取任务,clickNPC|NPC01@map1,1,1,-1
7001,特兰克斯的指引,1,5,1,2,3,1,查看宝典功能并领取完成奖励,0,1,查看宝典功能并领取完成奖励,|查看宝典^功能并领取完成奖励,openView|87,去找|特兰克斯^领取任务,clickNPC|NPC01@map1,[主]特兰克斯的指引<br/>与|查看宝典^功能并领取完成奖励,openView|87,[主]特兰克斯的指引<br/>去找|特兰克斯^完成任务,clickNPC|NPC01@map1,NPC01@map1,NPC01@map1,openView|87,clickNPC|NPC01@map1,让我来教你如何使用宝典！当你打开一个功能后，即可在宝典中进行查看，还可以领取完成奖励。|好的。^接任务|[接受]特兰克斯的指引,不要忘记每次开启功能后领取奖励哦！|好的！^还任务|[完成]特兰克斯的指引,按照指引完成奖励领取，还有不明白的地方吗？|我知道了。^进行中|[进行中]特兰克斯的指引,1000,210,2500,0,,|查看宝典^功能并领取完成奖励,openView|87,去找|特兰克斯^完成任务,clickNPC|NPC01@map1,1,1,0
3,追来的人造人,1,2,1,7001,4,1,消灭人造人队长,3,1,消灭人造人队长,击败|人造人队长^,openFB|1@1@3@3@6,去找|特兰克斯^领取任务,clickNPC|NPC01@map1,[主]追来的人造人<br/>击败|人造人先锋队长^({0}/{1}),openFB|1@1@3@3@6,[主]追来的人造人<br/>去找|特兰克斯^完成任务,clickNPC|NPC01@map1,NPC01@map1,NPC01@map1,openFB|1@1@3@3@6,activeFunction(6),人造人追过来了，不能让他们破坏我们的计划。|几个小喽啰而已，交给我了。^接任务|[接受]追来的人造人,好了，时间不多，我们得尽快找到孙悟空先生。|好的！^还任务|[完成]追来的人造人,需要我帮忙吗？|不必。^进行中|[进行中]追来的人造人,1500,630,2700,0,,击败|人造人队长^,openFB|1@1@3@3@6,去找|特兰克斯^完成任务,clickNPC|NPC01@map1,1,1,-1
4,寻找孙悟空,1,1,1,3,5,1,与孙悟空对话,0,0,与孙悟空对话,与|孙悟空^对话,clickNPC|NPC01@map1,去找|特兰克斯^领取任务,clickNPC|NPC01@map1,[主]寻找孙悟空<br/>与|孙悟空^对话,clickNPC|NPC02@map1,[主]寻找孙悟空<br/>去找|孙悟空^完成任务,clickNPC|NPC02@map1,NPC01@map1,NPC02@map1,clickNPC|NPC02@map1,showStory|序章剧情（治疗孙悟空的药）_clickNPC|NPC02@map1,孙悟空先生在我们回来的时间点应该就在附近，我们四处转转应该能找到他。|好的。^接任务|[接受]寻找孙悟空,你们认识我？|孙悟空先生，您方便吗？我有些重要的话要和您说。^还任务|[完成]寻找孙悟空,还没找到么？我们在附近看看。|好的。^进行中|[进行中]寻找孙悟空,2500,1060,3000,0,,与|孙悟空^对话,clickNPC|NPC01@map1,去找|孙悟空^完成任务,clickNPC|NPC02@map1,1,1,-1
5,时空穿梭机,1,2,1,4,7002,1,击败人造人精英小队,6,1,击败人造人精英小队,击杀|人造人精英^,openFB|1@1@6@6@6,去找|孙悟空^领取任务,clickNPC|NPC02@map1,[主]时空穿梭机<br/>击败|人造人精英队长^({0}/{1}),openFB|1@1@6@6@6,[主]时空穿梭机<br/>去找|孙悟空^完成任务,clickNPC|NPC02@map1,NPC02@map1,NPC02@map1,"openFB|1@1@6@6@6,addSection(4)",clickNPC|NPC02@map1,这就是人造人？感觉确实有些厉害。|孙悟空先生小心。^接任务|[接受]时空穿梭机,如果人造人只是这种实力，那我们完全能够应付。|这些是复制品，三年后的母体更加强大。^还任务|[完成]时空穿梭机,怎么了，你有这样害怕人造人吗？|当然不是。^进行中|[进行中]时空穿梭机,4000,1710,3400,0,,击杀|人造人精英^,openFB|1@1@6@6@6,去找|孙悟空^完成任务,clickNPC|NPC02@map1,1,1,-1
7002,新的伙伴,1,5,1,5,7003,1,打开酒馆招募界面，招募乌玛星入队,0,1,打开酒馆招募界面，招募乌玛星入队,打开酒馆招募界面，招募乌玛星入队,,去找|孙悟空^领取任务,clickNPC|NPC02@map1,[主]新的伙伴<br/>打开酒馆招募界面，招募乌玛星入队,,[主]新的伙伴<br/>去找|孙悟空^完成任务,clickNPC|NPC02@map1,NPC02@map1,NPC02@map1,activeFunction(10),clickNPC|NPC02@map1,乌玛星是一个很实用的伙伴，他的壁垒技能可以完全防御敌人的攻击。现在你打开酒馆把他招募入队吧！|好的。^接任务|[接受]新的伙伴,以后如果再遇到新的伙伴，都可以在酒馆中进行招募哦。|好的！^还任务|[完成]新的伙伴,按照指引完成伙伴招募，还有不明白的地方吗？|我知道了。^进行中|[进行中]新的伙伴,1000,210,2500,0,,[主]新的伙伴<br/>打开酒馆招募界面，招募乌玛星入队,,[主]新的伙伴<br/>去找|孙悟空^完成任务,clickNPC|NPC02@map1,1,1,1
7003,伙伴上阵,1,5,1,7002,6,1,打开阵型界面，将乌玛星排布到阵型上,0,1,打开阵型界面，将乌玛星排布到阵型上,打开阵型界面，将乌玛星排布到阵型上,,去找|孙悟空^领取任务,clickNPC|NPC02@map1,[主]伙伴上阵<br/>打开阵型界面，将乌玛星排布到阵型上,,[主]伙伴上阵<br/>去找|孙悟空^完成任务,clickNPC|NPC02@map1,NPC02@map1,NPC02@map1,activeFunction(3),clickNPC|NPC02@map1,你已经招募了乌玛星，现在把他安排到阵型上吧！|好的。^接任务|[接受]伙伴上阵,阵型的排布灵活多变，还需要在以后的战斗中好好的领悟！|好的！^还任务|[完成]伙伴上阵,,1000,210,2500,0,,[主]伙伴上阵<br/>打开阵型界面，将乌玛星排布到阵型上,,[主]伙伴上阵<br/>去找|孙悟空^完成任务,clickNPC|NPC02@map1,1,1,2
6,来袭的人造人,1,1,1,7003,7,1,与孙悟饭对话,0,0,与孙悟饭对话,与|孙悟饭^对话,clickNPC|NPC02@map1,去找|孙悟空^领取任务,clickNPC|NPC02@map1,[主]来袭的人造人<br/>与|孙悟饭^对话,clickNPC|NPC03@map1,[主]来袭的人造人<br/>去找|孙悟饭^完成任务,clickNPC|NPC03@map1,NPC02@map1,NPC03@map1,clickNPC|NPC03@map1,clickNPC|NPC03@map1,人造人往悟饭那边去了，这边我先顶着，你过去通知悟饭他们。|好的。^接任务|[接受]来袭的人造人,你是什么人？|孙悟饭先生，有一批人造人过来了，请您小心。^还任务|[完成]来袭的人造人,你快去。这里我能应付。|好的。^进行中|[进行中]来袭的人造人,5000,2130,3600,0,,与|孙悟饭^对话,clickNPC|NPC02@map1,去找|孙悟饭^完成任务,clickNPC|NPC03@map1,1,1,-1
