id,advancePoint,costPoint
1,0,0
2,100,1
3,200,2
4,300,3
5,400,5
6,500,7
7,600,9
8,700,11
9,800,13
10,900,16
11,1000,19
12,1100,22
13,1200,25
14,1300,28
15,1400,31
16,1500,34
17,1600,38
18,1700,42
19,1800,46
20,1900,50
21,2000,54
22,2100,58
23,2200,62
24,2300,66
25,2400,70
26,2500,75
27,2600,80
28,2700,85
29,2800,90
30,2900,95
31,3000,100
32,3100,105
33,3200,110
34,3300,115
35,3400,120
36,3500,125
37,3600,131
38,3700,137
39,3800,143
40,3900,149
41,4000,155
42,4100,161
43,4200,167
44,4300,173
45,4400,179
46,4500,185
47,4600,191
48,4700,197
49,4800,203
50,4900,210
51,5000,217
52,5100,224
53,5200,231
54,5300,238
55,5400,245
56,5500,252
57,5600,259
58,5700,266
59,5800,273
60,5900,280
61,6000,287
62,6100,294
63,6200,301
64,6300,308
65,6400,316
66,6500,324
67,6600,332
68,6700,340
69,6800,348
70,6900,356
71,7000,364
72,7100,372
73,7200,380
74,7300,388
75,7400,396
76,7500,404
77,7600,412
78,7700,420
79,7800,428
80,7900,436
81,8000,444
82,8100,453
83,8200,462
84,8300,471
85,8400,480
86,8500,489
87,8600,498
88,8700,507
89,8800,516
90,8900,525
91,9000,534
92,9100,543
93,9200,552
94,9300,561
95,9400,570
96,9500,579
97,9600,588
98,9700,597
99,9800,606
100,9900,615
101,10000,625
102,10100,635
103,10200,645
104,10300,655
105,10400,665
106,10500,675
107,10600,685
108,10700,695
109,10800,705
110,10900,715
111,11000,725
112,11100,735
113,11200,745
114,11300,755
115,11400,765
116,11500,775
117,11600,785
118,11700,795
119,11800,805
120,11900,815
121,12000,825
122,12100,835
123,12200,845
124,12300,855
125,12400,865
126,12500,875
127,12600,885
128,12700,895
129,12800,905
130,12900,915
131,13000,925
132,13100,935
133,13200,945
134,13300,955
135,13400,965
136,13500,975
137,13600,985
138,13700,995
139,13800,1005
140,13900,1015
141,14000,1025
142,14100,1035
143,14200,1045
144,14300,1055
145,14400,1065
146,14500,1075
147,14600,1085
148,14700,1095
149,14800,1105
150,14900,1115
151,15000,1125
152,15100,1135
153,15200,1145
154,15300,1155
155,15400,1165
156,15500,1175
157,15600,1185
158,15700,1195
159,15800,1205
160,15900,1215
161,16000,1225
162,16100,1235
163,16200,1245
164,16300,1255
165,16400,1265
166,16500,1275
167,16600,1285
168,16700,1295
169,16800,1305
170,16900,1315
171,17000,1325
172,17100,1335
173,17200,1345
174,17300,1355
175,17400,1365
176,17500,1375
177,17600,1385
178,17700,1395
179,17800,1405
180,17900,1415
181,18000,1425
182,18100,1435
183,18200,1445
184,18300,1455
185,18400,1465
186,18500,1475
187,18600,1485
188,18700,1495
189,18800,1505
190,18900,1515
191,19000,1525
192,19100,1535
193,19200,1545
194,19300,1555
195,19400,1565
196,19500,1575
197,19600,1585
198,19700,1595
199,19800,1605
200,19900,1615
